#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
EVTNAMELoR.866;Word from your spies!;Un message de vos espions !;Nachricht von unseren Spionen!;;¡Mensaje de tus espías!;;;;;;;;;x
EVTDESCLoR.866;News have arrived from the Black Sea! One of your spies succeeded in infiltrating the pirate fleet, and has spent the past month as an oarsman on one of their galleys. Information about the origins of their miraculous "sea fire" was apparently restricted to their ranking officers, and he never did manage to learn the location of their hideout.\n\nThere is good news, however. He brought a prisoner with him when he escaped from their fleet: a young woman named Despina. This vixen was apparently the captain of the galley he served on, and she claims to be the daughter of the pirate king himself, a man named Kyrillos. If this is true, you may have gained a hostage worth her weight in gold...;Des nouvelles sont arrivées de la mer Noire ! Un de vos espions a infiltré avec succès la flotte pirate et a passé le dernier mois comme rameur sur l'une de leurs navires. L'information à propos de l'origine de ce miraculeux «feu de mer» semble restreinte aux officiers supérieurs, et il n'est jamais parvenu à connaître l'emplacement de leur repaire.\n\nIl y a de bonnes nouvelles, cependant. Il a ramené un prisonnier avec lui quand il s'est échappé de cette flotte : une jeune femme nommée Despina. Cette renarde était apparemment le capitaine du navire qu'il a capturé, et elle prétend être la fille du Roi des Pirates lui-même, un homme du nom de Kiyrillos. Si cela est vrai, vous auriez un otage valant son pesant d'or ...;Neuigkeiten vom Schwarzen Meer sind eingetroffen! Einer Eurer Spione hat erfolgreich die Piratenflotte infiltriert und den letzten Monat als Ruderer auf einer ihrer Galeeren verbracht. Informationen über die Herkunft des mysteriösen "Meeresfeuers" sind anscheinend auf ihre ranghöchsten Offiziere beschränkt und er schafft es nie, den Standort ihres Verstecks herauszufinden.\n\nEs gibt jedoch auch gute Nachrichten. Er brachte eine Gefange mit, als er aus der Flotte entkam: eine junge Frau namens Despina. Diese raffinierte Frau war anscheinend Kapitän der Galeere, auf der er diente, und sie behauptet, die Tochter eines Piratenkönigs mit dem Namen Kyrillos zu sein. Wenn dies wahr ist, ist sie ihr Gewicht in Gold wert ...;;¡Han llegado noticias del Mar Negro! Uno de tus espías ha conseguido infiltrarse en la flota pirata, y ha estado todo el mes pasado como remero en una de sus galeras. La información sobre los orígenes de su milagroso "fuego de mar" está aparentemente restringida a sus oficiales de rango, y no ha conseguido aprender la localización de su escondite. \n\nAún así, son buenas noticias, cuando escapó se trajo consigo a una prisionera: una joven llamada Despina. Esta zorra parecía ser la capitana de la galera donde él estuvo y declara ser la hija del rey de los piratas, un hombre llamado Kyrillos. Si es eso cierto, puedes haber conseguido una rehén que vale su peso en oro...;;;;;;;;;x
EVTDESCLoR.867;News have arrived from the Black Sea! One of your spies succeeded in infiltrating the pirate fleet, and has spent the past month as an oarsman on one of their galleys. Information about the origins of their miraculous "sea fire" was apparently restricted to their ranking officers, and he never did manage to learn the location of their hideout.\n\nThere is good news, however. He brought a prisoner with him when he escaped from their fleet: a woman named Eleni. Your spy tells you this old hag has quite the temperament, and that she claims to be the wife of the pirate king himself, a man named Kyrillos. If this is true, you may have gained a hostage worth her weight in gold...;Des nouvelles sont arrivées de la mer Noire ! Un de vos espions a infiltré avec succès la flotte pirate et a passé le dernier mois comme rameur sur l'un de leurs navires. L'information à propos de l'origine de ce miraculeux ''feu de mer'' semble restreinte aux officiers supérieurs, et il n'est jamais parvenu à connaître l'emplacement de leur repaire.\n\nIl y a de bonnes nouvelles, cependant. Il a ramené un prisonnier avec lui quand il s'est échappé de cette flotte : une femme nommée Eleni. Votre espion vous raconte que cette vieille sorcière en a tout à fait le tempérament, et qu'elle prétend être l'épouse du Roi des Pirates lui-même, un homme du nom de Kyrillos. Si cela est vrai, vous auriez un otage valant son pesant d'or ...;Neuigkeiten vom Schwarzen Meer sind eingetroffen! Einer Eurer Spione hat erfolgreich die Piratenflotte infiltriert und den letzten Monat als Ruderer auf einer ihrer Galeeren verbracht. Informationen über die Herkunft des mysteriösen "Meeresfeuers" sind anscheinend auf ihre ranghöchsten Offiziere beschränkt und er schafft es nie, den Standort ihres Verstecks herauszufinden.\n\nEs gibt jedoch auch gute Nachrichten. Er brachte eine Gefangene mit, als er aus der Flotte entkam, eine Frau namens Eleni. Euer Spion sagt, dass diese Frau ein ziemliches Temperament habe und sie behauptet, die Frau eines Piratenkönigs mit dem Namen Kyrillos zu sein. Wenn dies wahr ist, ist sie ihr Gewicht in Gold wert ...;;¡Han llegado noticias del Mar Negro! Uno de tus espías ha conseguido infiltrarse en la flota pirata, y ha estado todo el mes pasado como remero en una de sus galeras. La información sobre los orígenes de su milagroso "fuego de mar" está aparentemente restringida a sus oficiales de rango, y no ha conseguido aprender la localización de su escondite. \n\nAún así, son buenas noticias cuando escapó se trajo consigo a una prisionera: una mujer llamada Eleni. Tu espía te dice que esta vieja bruja tiene bastante carácter y declara ser la esposa del rey de los piratas, un hombre llamado Kyrillos. Si es eso cierto, puedes haber conseguido una rehén que vale su peso en oro...;;;;;;;;;x
EVTDESCLoR.868;News have arrived from the Black Sea! Your Spymaster presents a sack that was delivered earlier today by an anonymous courier. Its contents are poured out on the table in front of you: the severed heads of every single operative you sent to infiltrate the pirate fleet.\n\nClearly you are not dealing with a band of simple cutthroats. These pirates represent a serious security threat to the entire Empire. Something must be done!;Des nouvelles sont arrivées de la mer Noire ! Votre maître-espion vous présente un sac qui a été livré plus tôt dans la journée, de façon anonyme. Son contenu est vidé sur la table devant vous : les têtes décapitées de chacun des agents que vous avez envoyé pour infiltrer la flotte pirate \n\nTrès clairement, vous n'avez pas affaire à une simple bande d'assassins... Ces pirates représentent une menace sérieuse pour la sécurité de tout l'Empire. Il faut désormais faire quelque chose !;Neuigkeiten vom Schwarzen Meer sind eingetroffen! Euer Hofspitzel präsentiert Euch einen Sack, der heute früh von einem anonymen Boten geliefert wurde. Sein Inhalt wird vor Euch auf den Tisch geschüttet: die abgetrennten Köpfe eines jeden einzelnen Agenten, den Ihr gesandt habt, um die Piratenflotte zu infiltrieren.\n\nEs ist Ihnen klar, dass Sie es hier nicht mit einfachen Dieben zu tun haben. Diese Piraten stellen eine ernste Sicherheitsbedrohung für das ganze Imperium dar. Etwas muss getan werden!;;¡Han llegado noticias del Mar Negro! El jefe de tus espías te da un saco que un mensajero anónimo ha entregado hoy temprano. Su contenido se derrama sobre la mesa: las cabezas cortadas de cada uno de los agentes que enviaste para inflirtarse en la flota pirata. \n\nEs evidente que no estás tratando con una banda de simples asesinos. Estos piratas representan una seria amenaza para la seguridad de todo el Imperio. ¡Hay que hacer algo!;;;;;;;;;x
EVTTOOLTIPLoR.869;You await further developments.;Vous attendez de voir la suite;Ihr wartet die weitere Entwicklung ab.;;Esperas nuevos avances.;;;;;;;;;x
EVTNAMELoR.869;The Letter;La Lettre;Der Brief;;La Carta;;;;;;;;;x
EVTDESCLoR.869;A letter was found this morning nailed to the doors of the Great Palace. It appears to have been written in blood, presumably from the dead palace guard left impaled on a spear in the garden. It reads:\n\n"You have something of mine, and I have something of yours. I propose a trade. On the back of this letter you will find a map to a small island in the Aegean. Bring my Despina, and I will bring the formula of your liquid fire as well as the only alchemist left alive with the knowledge to produce it.\n\nSigned,\nKing Kyrillos the Magnanimous";Une lettre a été trouvée ce matin, clouée aux portes du Grand Palais. Elle semble écrite avec du sang, probablement celui d'un garde du palais qu'on a retrouvé empalé sur une lance dans le jardin. On y lit : \n\n«Vous avez quelque chose qui m'appartient, et j'ai quelque chose à vous. Je vous propose un marché : sur le verso de cette lettre, vous trouverez une carte d'une petite île de la mer Égée. Apportez mon Despina et... je vous rendrai la formule de votre feu liquide ainsi que le seul alchimiste encore vivant ayant les connaissances nécessaires pour le produire. \n\nSigné,\nRoi Kyrillos le Magnanime.»;Ein Brief wurde heute Morgen gefunden, dieser war an die Tore des Großen Palastes genagelt. Er scheint mit Blut geschrieben zu sein, das vermutlich von der toten Palastwache stammt, die aufgespießt auf einem Speer im Garten zurückgelassen wurde. Darin steht:\n\nSie haben etwas von mir und ich habe etwas von Ihnen. Ich schlage einen Handel vor. Auf der Rückseite dieses Briefes befindet sich eine Karte, die zu einer kleine Insel in der Ägäis führt. Bringen Sie meine Despina mit und ich bringe die Formel des flüssigen Feuers und auch den einzigen Alchemisten mit, der diese Formel noch kennt.\n\nGezeichnet,\nKönig Kyrillos der Großmütige;;Una carta ha sido encontrada esta mañana clavada en las puertas del Gran Palacio. Parece haber sido escrita con sangre, presumiblemente con la sangre del guardia de palacio, que ha sido encontrado muerto atravesado por una lanza en el jardín. La carta dice: \n\n"Tú tienes algo que es mío, y yo tengo algo tuyo, te propongo un trato. En el reverso de esta carta encontrarás el mapa de una pequeña isla en el mar Egeo. Trae mi Despina, y yo llevaré la formula de tu fuego líquido así como el único alquimista vivo que sabe cómo elaborarlo. \n\nSignado, \n\nel Rey Kyrillos el Magnánimo";;;;;;;;;x
EVTOPTALoR.869;An excellent opportunity for an ambush...;Une excellente occasion pour une embuscade...;Eine exzellente Gelegenheit für einen Hinterhalt ...;;Una excelente oportunidad para una emboscada ...;;;;;;;;;x
EVTOPTBLoR.869;I cannot risk backstabbing this man.;Trahir cet homme serait trop risqué.;Ich kann es nicht riskieren, diesem Mann in den Rücken zu fallen.;;No puedo arriesgarme a apuñalar ese hombre por la espalda.;;;;;;;;;x
EVTDESCLoR.870;A letter was found this morning nailed to the doors of the Great Palace. It appears to have been written in blood, presumably from the dead palace guard left impaled on a spear in the garden. It reads:\n\n"Enough games, [Root.GetTitle]. I am in possession of something you want, and you must realize by now that it cannot be seized by force of arms. I propose a trade. On the back of this letter you will find a map to a small island in the Aegean. Bring plenty of gold, and I will bring the formula of your liquid fire as well as the last surviving alchemist with the knowledge to produce it.\n\nSigned,\nKing Kyrillos the Magnanimous";Une lettre a été trouvée ce matin, clouée aux portes du Grand Palais. Elle semble écrite avec du sang, probablement celui d'un garde du palais qu'on a retrouvé empalé sur une lance dans le jardin. On y lit : \n\n«Trêve de plaisanteries, [Root.GetTitle]. Je suis en possession de quelque chose que vous voulez, et vous devez comprendre maintenant qu'il ne peut pas être saisi par la force des armes. Je propose un compromis. Sur le recto de cette lettre, vous trouverez une carte d'une petite île de la mer Égée. Apportez beaucoup d'or, et je vous rendrais la formule de votre feu liquide ainsi que le seul alchimiste encore vivant ayant les connaissances nécessaires pour le produire. \n\nSigné,\nRoi Kyrillos le Magnanime.»;Ein Brief wurde heute Morgen gefunden, dieser war an die Tore des Großen Palastes genagelt. Er scheint mit Blut geschrieben zu sein, das vermutlich von der toten Palastwache stammt, die aufgespießt auf einem Speer im Garten zurückgelassen wurde. Darin steht:\n\nGenug, [Root.GetTitle]. Ich bin im Besitz von etwas, was Sie wollen, und Sie müssen realisieren, dass es nicht mit Gewalt zu bekommen ist. Auf der Rückseite dieses Briefs befindet sich eine Karte, die zu einer kleinen Insel in der Ägäis führt. Bringen Sie eine Menge Gold mit und ich gebe Euch die Formel des flüssiges Feuers sowie den letzten Alchemisten, der die Formel kennt.\n\nGezeichnet,\nKönig Kyrillos der Großmütige;;Una carta ha sido encontrada esta mañana clavada en las puertas del Gran Palacio. Parece haber sido escrita con sangre, presumiblemente con la sangre del guardia de palacio, que ha sido encontrado muerto atravesado por una lanza en el jardín. La carta dice: \n\n" Basta de juegos, [Root.GetTitle]. Tengo algo que tu quieres, y a estas alturas ya te debes haber dado cuenta que no lo puedes conseguir por la fuerza. Te propongo un trato. En el reverso de esta carta encontrarás el mapa de una pequeña isla en el mar Egeo. Ven cargado de oro y yo llevaré la formula de tu fuego líquido así como el único alquimista vivo que sabe cómo elaborarlo. \n\nSignado, \n\nel Rey Kyrillos el Magnánimo";;;;;;;;;x
EVTTOOLTIPLoR.872;You prepare an ambush for the pirate king.;Vous préparez une embuscade pour le Roi pirate.;Ihr bereitet einen Hinterhalt für den König der Piraten vor.;;Planeas tender una emboscada al rey pirata.;;;;;;;;;x
EVTNAMELoR.872;The Deal;Le Marché;Der Handel;;El Acuerdo;;;;;;;;;x
EVTDESCLoR.872;You set sail with a small fleet for the island Kyrillos indicated in his letter. As you draw near, you order the rest of your ships to disperse and cover any potential escape routes while you approach with your flagship. The pirate king has already arrived at the small, barren island and you make your landing with Despina and a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"Release the girl," he bellows. "Ye shall get yer alchemist and formula back, on my honor." The pirates push a frail old man holding a scroll forwards, and you do the same with Kyrillos' daughter. "My apologies about the warehouse and docks," the pirate king says with a smile. "We had to cover our tracks." With the deal concluded, both groups depart on their ships.;Vous prenez la mer avec une petite escadre vers l'île que Kyrillos a indiquée dans sa lettre. En arrivant tout près, vous ordonnez aux autres navires de se disperser afin de couvrir toute potentielle voie de fuite pendant que vous approchez, tout en arborant votre pavillon impérial. Le Roi des Pirates est déjà arrivé sur la petite île aride et vous débarquez sur le rivage avec Despina et une petite escorte de gardes varègues de confiance. Kyrillos est entouré par ses brigands.\n\n «Relâchez la jeune fille», souffla-t-il. «Vous obtiendrez l'alchimiste et la formule en retour, sur mon honneur.» Les pirates poussent un vieil homme frêle tenant un rouleau de parchemin à la main, et vous faites la même chose avec la fille de Kyrillos. «Je vous présente mes excuses au sujet de l'entrepôt et des docks», dit le Roi des Pirates avec un sourire. «Nous avons dû brouiller les pistes». Dès l'accord conclu achevé, les deux groupes repartent sur leurs navires.;Ihr stecht mit einer kleinen Flotte in Richtung der Insel, wie von Kyrillos angegeben, in See. Als Ihr Euch nähert, gebt Ihr den anderen Schiffen den Befehl, sich aufzuteilen und alle möglichen Fluchtwege zu blockieren, während Ihr Euch mit Eurem Flaggschiff nähert. Der Piratenkönig und seine Piraten sind schon auf der kleinen, kargen Insel angekommen und Ihr landet mit Despina und einem Landungstrupp aus Warägern an.\n\n"Lass das Mädchen frei", brüllt er. "Du bekommst deine Formel und den Alchemisten zurück, bei meiner Ehre." Die Piraten schieben einen gebrechlichen alten Mann, dem Kyrillos eine Schriftrolle gibt, vorwärts und Ihr übergebt ihnen Despina im Austausch. "Entschuldigung wegen des Lagerhauses", witzelt der Piratenkönig. "Wir mussten unsere Spuren verwischen." Nach erfolgreichem Handel machen sich beide Seiten zu ihren Schiffen auf.";;Con una pequeña flota zarpas hacia la isla que Kyrillos indicaba en su carta. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Despina y un reducido destacamento de fieles Guardas varegas en una pequeña orilla. \n\n"Libera a la chica", Kyrillos grita desde donde se encuentra rodeado de sus bandoleros. "Vos recuperaréis vuestro alquimista y la fórmula, por mi honor." Los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito. Y tú haces lo mismo con la hija de Kyrillos. "Mis disculpas por lo del almacén y los muelles" Dice el rey pirata dibujando una sonrisa. "Teníamos que borrar nuestras huellas". Con el intercambio concluido, ambos grupos vuelven a sus respectivos barcos.;;;;;;;;;x
EVTOPTALoR.872;The deal is concluded.;Le marché est conclu.;Der Handel ist abgeschlossen.;;El acuerdo es concluido;;;;;;;;;x
EVTTOOLTIPLoR.873;You decide to follow the pirate's instructions to the letter.;Vous décidez de suivre les instructions du pirate à la lettre.;Ihr entscheidet Euch, den Anweisungen im Brief des Piraten zu folgen.;;Decides seguir las instrucciones que hay en la carta de el pirata.;;;;;;;;;x
EVTDESCLoR.873;You set sail with your flagship for the island Kyrillos indicated in his letter. The pirate king has already arrived at the small, barren island and you make your landing with Despina and a small shore party of trusted Varangian Guardsmen.\n\n"Release the girl," Kyrillos bellows from where he stands surrounded by his brigands. "Ye shall get yer alchemist and formula back, on my honor." The pirates push a frail old man holding a scroll forwards, and you do the same with Kyrillos' daughter. "My apologies about the warehouse and docks," the pirate king says with a smile. "We had to cover our tracks." With the deal concluded, both groups depart on their ships.;Vous prenez la mer avec votre vaisseau amiral vers l'île que Kyrillos a indiquée dans sa lettre. Le roi pirate est déjà sur cette petite île aride et vous débarquez avec Despina et un groupe de gardes varègues fiables. Kyrillos est là, debout, entouré de ses brigands.\n\n «Relâchez la jeune fille», souffla-t-il. «Vous obtiendrez l'alchimiste et la formule en retour, sur mon honneur». Les pirates poussent un vieil homme frêle tenant un rouleau de parchemin à la main, et vous faites la même chose avec la fille de Kyrillos. «Je vous présente mes excuses au sujet de l'entrepôt et des docks», dit le Roi des Pirates avec un sourire. «Nous avons dû brouiller les pistes». Dès l'accord conclu achevé, les deux groupes repartent sur leurs navires.;Ihr stecht mit Eurem Flaggschiff in Richtung der Insel, wie von Kyrillos angegeben, in See. Der Piratenkönig ist bereits auf der kleinen, kargen Insel eingetroffen und Ihr landet mit Despina und einer kleinen Landungstruppe vertrauenswürdiger Waräger an. Kyrillos ist von seinen Piraten umgeben.\n\n"Lass das Mädchen frei", brüllt Kyrillos. "Du bekommst den Alchemisten und die Formel zurück, bei meiner Ehre." Die Piraten drängen einen alten gebrechlichen Mann, dem Kyrillos eine Schriftrolle reicht, vorwärts und Ihr übergebt ihnen Kyrillos Tochter im Austausch. "Entschuldigung wegen des Lagerhauses", witzelt der Piratenkönig. "Wir mussten unsere Spuren verwischen." Nach erfolgreichem Handel machen sich beide Seiten zu ihren Schiffen auf.";;Embarcas con tu buque insignia en busca de la isla indicada en la carta de Kyrillos. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Despina y un reducido destacamento de fieles Guardas de varega en una pequeña orilla. \n\n"Libera a la chica", Kyrillos grita desde donde se encuentra rodeado de sus bandoleros. "Vos recuperaréis vuestro alquimista y la fórmula, por mi honor." Los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito. Y tú haces lo mismo con la hija de Kyrillos. "Mis disculpas por lo del almacén y los muelles" Dice el rey pirata dibujando una sonrisa. "Teníamos que borrar nuestras huellas". Con el intercambio concluido, ambos grupos vuelven a sus respectivos barcos.;;;;;;;;;x
EVTDESCLoR.874;You set sail with a small fleet for the island Kyrillos indicated in his letter. As you draw near, you order the rest of your ships to disperse and cover any potential escape routes while you approach with your flagship. The pirate king has already arrived at the small, barren island and you make your landing with Eleni and a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"I see ye brought my wife," Kyrillos says. "If ye think ye can barter with her, ye will be disappointed. But I will lower the ransom by one third if ye promise to keep her." Eleni objects loudly at this, but the pirates push a frail old man holding a scroll forwards, and you grudgingly provide the ransom. With the deal concluded, you take Eleni back to your ship and both groups depart.;Vous prenez la mer avec une petite escadre vers l'île que Kyrillos a indiquée dans sa lettre. En arrivant tout près, vous ordonnez aux autres navires de se disperser afin de couvrir toute potentielle voie de fuite pendant que vous approchez, tout en arborant votre pavillon impérial. Le Roi des Pirates est déjà arrivé sur la petite île aride et vous débarquez sur le rivage avec Eleni et une petite escorte de gardes varègues de confiance. Kyrillos est entouré par ses brigands.\n\n «Je vois que vous avez ramené ma femme», commença Kyrillos. «Si vous pensez que vous pouvez échanger mon trésor avec elle, vous serez déçu. Mais je vais baisser la rançon d'un tiers si vous promettez de la garder.» Eleni tempêta fort, mais les pirates poussent un vieil homme frêle tenant un rouleau de parchemin à la main, et vous faites à contrecoeur apporter le coffre de la rançon. Dès l'accord conclu, les deux groupes repartent sur leurs navires, et vous ramenez avec vous Eleni.;Ihr stecht mit Eurem Flaggschiff in Richtung der Insel, wie von Kyrillos angegeben, in See. Als Ihr Euch nähert, gebt Ihr den anderen Schiffen den Befehl, sich aufzuteilen und alle möglichen Fluchtwege zu blockieren, während Ihr Euch mit Eurem Flaggschiff nähert. Der Piratenkönig ist schon an der kleinen, kargen Insel angekommen und Ihr geht mit einem Landungstrupp aus vertrauenswürdigen Warägern und Eleni an Land. Kyrillos ist von seinen Piraten umgeben.\n\n"Ich sehe, du hast meine Frau mitgebracht", sagt Kyrillos. "Wenn du denkst, dass ich mit dir handeln werde, muss ich dich enttäuschen. Aber ich senke das Lösegeld um ein Drittel, wenn du sie behältst." Eleni ist erbost. Ihr tauscht widerwillig einen gebrechlichen alten Mann und eine Schriftrolle gegen das Lösegeld ein. Danach nehmt Ihr Eleni mit auf Euer Schiff.";;Con una pequeña flota zarpas hacia la isla que Kyrillos indicaba en su carta. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Eleni y un reducido destacamento de fieles guardas de varega en una pequeña orilla. Kyrillos está rodeado por sus bandidos. \n\n"Ya veo que habéis  traído a mi esposa", dice Kyrillos. "Si creéis que podéis hacer un trueque con ella quedaréis muy decepcionado. Pero puedo bajar un tercio el precio del rescate si prometéis llevarla". Eleni protesta ruidosamente, y los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito, mientras tú, a regañadientes, preparas el rescate. Con el acuerdo concluido, te llevas de vuelta a Eleni a tu barco y ambos grupos zarpan.;;;;;;;;;x
EVTDESCLoR.875;You set sail with your flagship for the island Kyrillos indicated in his letter. The pirate king has already arrived at the small, barren island and you make your landing with Eleni and a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"I see ye brought my wife," Kyrillos says. "If ye think ye can barter with her, ye will be disappointed. But I will lower the ransom by one third if ye promise to keep her." Eleni objects loudly at this, but the pirates push a frail old man holding a scroll forwards, and you grudgingly provide the ransom. With the deal concluded, you take Eleni back to your ship and both groups depart.;Vous prenez la mer avec votre vaisseau amiral vers l'île que Kyrillos a indiquée dans sa lettre. Le roi pirate est déjà sur cette petite île aride et vous débarquez avec Eleni et un groupe de gardes varègues fiables. Kyrillos est là, debout, entouré de ses brigands.\n\n «Je vois que vous avez ramené ma femme», commença Kyrillos. «Si vous pensez que vous pouvez échanger mon trésor avec elle, vous serez déçu. Mais je vais baisser la rançon d'un tiers si vous promettez de la garder.» Eleni tempêta fort, mais les pirates poussent un vieil homme frêle tenant un rouleau de parchemin à la main, et vous faites à contrecoeur apporter le coffre de la rançon. Dès l'accord conclu, les deux groupes repartent sur leurs navires, et vous ramenez avec vous Eleni.;Ihr stecht mit Eurem Flaggschiff in Richtung der Insel, wie in Kyrillos Brief angegeben, in See. Der Piratenkönig ist bereits auf der kleinen, kargen Insel eingetroffen und Ihr landet mit Eleni und einer kleinen Landungstruppe vertrauenswürdiger Waräger an. Kyrillos ist von seinen Piraten umgeben.\n\n"Ich sehe, du hast meine Frau mitgebracht", sagt Kyrillos. "Wenn du denkst, dass du mit mir handeln kannst, muss ich dich enttäuschen. Aber ich senke das Lösegeld um ein Drittel, wenn du versprichst, sie zu behalten." Eleni regt sich laut darüber auf, aber die Piraten schieben einen gebrechlichen alten Mann mit einer Schriftrolle vorwärts und Sie geben ihnen widerwillig das Lösegeld. Nach beendetem Handel nehmt Ihr Eleni mit zu Eurem Schiff.";;Embarcas con tu buque insignia en busca de la isla indicada en la carta de Kyrillos. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Eleni y un reducido destacamento de fieles guardas Varanguianos en una pequeña orilla. Kyrillos está rodeado por sus bandidos. "Ya veo que habéis  traído a mi esposa", dice Kyrillos. "Si creéis que podéis hacer un trueque con ella quedaréis muy decepcionado. Pero puedo bajar un tercio el precio del rescate si prometéis llevarla". Eleni protesta ruidosamente, y los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito, mientras tu preparas, a regañadientes, el rescate. Con el acuerdo concluido, te llevas de vuelta a Eleni a tu barco y ambos grupos zarpan.;;;;;;;;;x
EVTDESCLoR.876;You set sail with a small fleet for the island Kyrillos indicated in his letter. As you draw near, you order the rest of your ships to disperse and cover any potential escape routes while you approach with your flagship. The pirate king has already arrived at the small, barren island and you make your landing with a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"I hope ye brought plenty of gold," Kyrillos says. "The secret of Greek fire is an expensive one, but I'm sure ye know its value better than anyone." The pirates push a frail old man holding a scroll forwards, and you grudgingly provide the ransom. With the deal concluded, both groups depart on their ships.;Vous prenez la mer avec une petite escadre vers l'île que Kyrillos a indiquée dans sa lettre. En arrivant tout près, vous ordonnez aux autres navires de se disperser afin de couvrir toute potentielle voie de fuite pendant que vous approchez, tout en arborant votre pavillon impérial. Le Roi des Pirates est déjà arrivé sur la petite île aride et vous débarquez sur le rivage avec une petite escorte de gardes varègues de confiance. Kyrillos est entouré par ses brigands.\n\n« J'espère que vous avez apporté beaucoup d'or », dit Kyrillos. « Le secret du feu grégeois est coûteux, mais je suis sûr que vous savez sa valeur mieux que quiconque. » Les pirates poussent un vieil homme frêle tenant un rouleau de parchemin à la main, et vous faites à contrecoeur apporter le coffre de la rançon. Dès l'accord conclu, les deux groupes repartent sur leurs navires.;Ihr stecht mit einer kleinen Flotte in Richtung der Insel, wie in Kyrillos Brief angegeben, in See. Als Ihr Euch nähert, gebt Ihr den anderen Schiffen den Befehl, sich aufzuteilen und alle möglichen Fluchtwege zu blockieren, während Ihr Euch mit dem Flaggschiff nähert. Der Piratenkönig ist schon auf der kleinen, kargen Insel an Land gegangen und Ihr landet mit einem Landungstrupp von vertrauenvollen Warägern an. Kyrillos ist von seinen Piraten umgeben.\n\n"Ich hoffe, du hast eine Menge Gold dabei", sagt Kyrillos. "Das Geheimnis des flüssigen Feuers ist teuer, aber ich bin mir sicher, du kennst seinen Wert besser als jeder andere." Die Piraten drängen einen alten gebrechlichen Mann mit einer Schriftrolle in Eure Richtung. Im Gegenzug liefert Ihr ihnen widerwillig das Gold. Danach gehen beide Seiten wieder auf ihre Schiffe.";;Con una pequeña flota zarpas hacia la isla que kyrillos indicaba en su carta. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con un reducido destacamento de fieles Guardas varega en una pequeña orilla. Kyrillos está rodeado por sus bandidos. \n\n"Espero que hayáis venido cargado de oro" Te dice Kirillos. "El secreto del Fuego Griego es un secreto caro, pero estoy seguro que vos conocéis más que nadie su valor". Los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito, mientras tú preparas el rescate a regañadientes. Con el acuerdo concluido, vuelves a tu barco y ambos grupos zarpan.;;;;;;;;;x
