#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;de face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x # child - chaste gluttonous
desc_prosperity_modifier_3;A prolonged period of peace and shrewd management has caused this county to §YBoom§!! \n\n§YProsperity§! will increase with time, but will be hampered by negative province modifiers, war, disease and sieges. Construct §YHospitals§! and keep the province clear of hostile armies to ensure that the county continues to prosper.;Une période prolongée de paix et une gestion judicieuse ont donné lieu à une §Yéconomie en plein essor§! dans le comté ! \n\nLa §Yprospérité§! augmentera avec le temps, mais sera entravée par tout modificateur comtal négatif, la guerre, la maladie ou un siège. Construisez un §Yhôpital§! et gardez toute armée ennemie hors du comté afin qu'il continue à prospérer.;Nach einer langen Zeit des Friedens und gewandter Verwaltung §Yfloriert§! diese Grafschaft geradezu! \n\nDer §YWohlstand§! wird sich im Lauf der Zeit steigern, doch negative Provinzmodifikatoren, Kriege, Krankheiten und Belagerungen wirken dem entgegen. Baut §YHospitale§! und haltet feindliche Armeen aus der Provinz fern, damit die Grafschaft weiter boomen kann.;;Un prolongado período de paz y gestión inteligente ha llevado a este condado a un §YAuge§!! \n\nLa §YProsperidad§! aumentará con el tiempo, pero será dificultada por modificadores de provincia negativos: guerra, enfermedad y asedios. Construye §YHospitales§! y mantén provincia libre de ejércitos hostiles para asegurarte que el condado sigue prosperando.;;;;;;;;;x
logging_company_province;Logging Company;Société forestière;Holzfällergesellschaft;;Empresa maderera;;;;;;;;;x
desc_logging_company_province;The prime wood contained within the forests of this county has drawn the attention of an elite group of artisans.;Le bois de premier choix des forêts de ce comté a attiré l'attention d'un groupe d'artisans d'élite.;Das qualitativ hochwertige Holz in den Wäldern dieser Grafschaft hat die Aufmerksamkeit einer Gruppe ausgezeichneter Kunsthandwerker geweckt.;;La madera de primera que contiene los bosques de este condado ha llamado la atención de un grupo selecto de artesanos.;;;;;;;;;x
RIP.11716.d;The prime quality wood found in the forests of [Root.GetName] has attracted the attention of a group of elite artisans. These renowned individuals have set up a concern where they offer their services for a hefty price. For the right price you could acquire their services and put them to work for the crown!;Le bois de premier choix trouvé dans les forêts de [Root.GetName] a attiré l'attention d'un groupe d'artisans d'élite. Ces individus réputés ont mis en place une affaire où ils proposent leurs services pour un prix élevé. Pour un bon prix, vous pourriez les faire travailler pour la Couronne !;Das qualitativ hochwertige Holz in den Wäldern von [Root.GetName] hat die Aufmerksamkeit einer Gruppe ausgezeichneter Kunsthandwerker geweckt. Diese renommierten Arbeiter haben ein Unternehmen gegründet, über welches sie ihre Dienste gegen saftige Gebühren anbieten. Für den richtigen Preis könntet Ihr Euch ihre Dienste sichern und sie für die Krone arbeiten lassen!;;La madera de primera calidad que se encuentra en los bosques de [Root.GetName] ha llamado la atención de un grupo de selectos artesanos. Estos individuos renombrados han fundado una compañía en la que ofrecen sus servicios por una gran suma. ¡Por el precio adecuado podrías adquirir sus servicios y ponerlos a trabajar para la corona!;;;;;;;;;x
RIP.11716.a;They should work towards the betterment of the realm!;Ils devraient travailler pour améliorer le pays !;Sie sollten für die Verbesserung des Reichs arbeiten!;;¡Que trabajen para mejorar el reino!;;;;;;;;;x
RIP.11716.b;I will banish them and seize their assets.;Je vais les bannir et m'emparer de leurs biens.;Ich werde sie verstoßen und ihre Besitztümer beschlagnahmen.;;Los desterraré y me apoderaré de sus bienes.;;;;;;;;;x
PROSPERITY_TITLE;[Root.GetName] Prospers!;[Root.GetName] prospère !;[Root.GetName] wächst und gedeiht!;; ¡[Root.GetName] Prospera!;;;;;;;;;x
ore_mine_province;Mining Network;Réseau d'exploitation minière;Bergbaunetzwerk;;Red Minera;;;;;;;;;x
desc_ore_mine_province;The mountains of this county contain a massive network of guilds mining for ore and breaking stone.;Les montagnes de ce comté contiennent un énorme réseau de guildes extrayant du minerai et brisant la pierre.;In den Bergen dieser Grafschaft hat sich ein enormes Netzwerk an Gilden entwickelt, die nach Erzen graben und Gestein abbauen.;;Las montañas de este condado contienen una enorme red de gremios mineros que excavan buscando mineral y partir piedras.;;;;;;;;;x
RIP.11717.d;For quite some time now, more and more miners have started mining for ore and breaking stone in the mountains of [Root.GetName]. It has come to the point where there is a massive network of them, all organized into various interconnected guilds. For a hefty sum you could bring these guilds into the employ of the crown!;Depuis un certain temps, de plus en plus de mineurs ont commencé à extraire du minerai et casser la pierre dans les montagnes de [Root.GetName]. Au point où il y a à présent un énorme réseau de guildes. En échange d'une lourde somme, vous pourriez faire en sorte qu'ils travaillent pour la Couronne !;Schon seit geraumer Zeit arbeiten mehr und mehr Bergarbeiter in den Bergen von [Root.GetName], wo sie nach Erzen graben und Gestein abbauen. Inzwischen hat sich ein ganzes Netzwerk gebildet, und sie alle sind in unterschiedlichen, miteinander verbundenen Gilden organisiert. Gegen eine ordentliche Summe könntet Ihr diese Gilden unter die Kontrolle der Krone bringen!;;Desde hace ya bastante tiempo, más y más mineros han comenzado a excavar buscando minerales y partir piedras en las montañas de [Root.GetName]. Ha llegado al punto en que hay una red masiva de ellos, todos organizados en diferentes gremios interconectados. ¡Por una gran suma podrías poner estos gremios al servicio de la corona!;;;;;;;;;x
RIP.11717.a;They shall serve me and the people of [Root.GetName]!;Ils travailleront pour moi et le peuple de [Root.GetName] !;Sie werden mir und dem Volk von [Root.GetName] gute Dienste leisten!;;¡Deben servirme a mí y al pueblo de [Root.GetName]!;;;;;;;;;x
RIP.11717.b;They are clearly trespassing, get rid of them and seize their tools!;Ils sont entrés sans autorisation. Emparons-nous de leurs biens !;Sie halten sich unerlaubt in diesem Gebiet auf. Scheucht sie fort und beschlagnahmt ihre Werkzeuge!;;Es obvio que han entrado sin permiso, ¡me desharé de ellos y me quedaré sus herramientas!;;;;;;;;;x
gain_tech_custom_tooltip;Gain §G5.00§! random tech points.\n;Obtient §G5§! points de progrès technologique.\n;Erhaltet §G5.00§! zufällige Technologiepunkte.\n;;Gana §G5.00§! puntos de tecnología arbitrarios\n;;;;;;;;;x
#rampaging_nomads;Rampaging Nomads;Nomades déchaînés;Wildgewordene Nomaden;;Nómadas vandálicos;;;;;;;;;x
#desc_rampaging_nomads;Hordes of rampaging nomadic warriors are terrorizing the inhabitants of this county. If this county is conquered by a non-nomadic character, the rampaging nomads will disperse.;Des hordes de nomades déchaînés terrorisent les habitants de ce comté. Si le comté est conquis par un personnage non nomade, elles se disperseront.;Horden wildgewordener Nomadenkrieger verbreiten Angst und Schrecken unter der Bevölkerung dieser Grafschaft. Wenn diese Grafschaft von einer nicht-nomadischen Person erobert wird, werden sich die wildgewordenen Nomaden zerstreuen.;;Hordas de guerreros nómadas vandálicos están aterrorizando a los habitantes de este condado. Si este condado es conquistado por un personaje no nómada, los nómadas vandálicos se dispersarán.;;;;;;;;;x
stop_pillage_settlement;Stop Pillaging;Arrêter le pillage;Plünderung einstellen;;Detener el saqueo;;;;;;;;;x
stop_pillage_settlement_desc;You can choose to stop pillaging this Holding.\n\nYou will not be able to resume pillaging for one year.;Vous pouvez choisir d'arrêter de piller cette propriété.\n\nVous ne pourrez pas reprendre le pillage avant un an.;Ihr könnt die Plünderung dieser Liegenschaft einstellen.\n\nIhr könnt sie frühestens nach einem Jahr erneut plündern.;;Puedes decidir dejar de saquear este asentamiento. \n\nNo podrás seguir saqueando durante un año.;;;;;;;;;x
stop_pillaging_custom_tooltip;Has not decided to Stop Pillaging the holding;N'a pas décidé d'arrêter le pillage de la propriété;Hat sich nicht dazu entschlossen, die Plünderung der Liegenschaft einzustellen;;Ha decidido no Detener el saqueo del asentamiento;;;;;;;;;x
pillage_settlement_desc;Start Pillaging this Holding.\n\nWhile Pillaging this Holding the revolt risk of the entire Province will be increased significantly, but in exchange you will receive the following every §Y6 months§! until the holding is completely destroyed:;Commencer à piller cette propriété.\n\nPiller cette propriété augmente significativement le risque de révolte du comté, mais en échange vous recevrez tous les §Y6 mois§! jusqu'à la destruction complète de la propriété les choses suivantes :;Beginnt mit der Plünderung dieser Liegenschaft.\n\nWährend diese Liegenschaft geplündert wird, steigt das Aufstandsrisiko in der gesamten Provinz enorm. Im Gegenzug erhaltet Ihr aber alle §Y6 Monate§! bis zur vollständigen Zerstörung der Liegenschaft Folgendes:;;Empezar a saquear este asentamiento.\n\nSaquear este asentamiento aumentará considerablemente el riesgo de rebelión de toda la provincia, pero a cambio recibirás lo siguiente cada §Y6 meses§! hasta que el asentamiento haya sido totalmente destruido: ;;;;;;;;;x
recently_burnt_the_land;Recently Pillaged;Pillée récemment;Kürzlich geplündert;;Recientemente saqueado;;;;;;;;;x
#desc_recently_burnt_the_land;Nomads have recently pillaged this holding. The peasants are arming themselves, hell-bent on defending their homes.;Les nomades ont pillé cette propriété récemment. Les paysans se sont armés pour défendre leurs maisons.;Nomaden haben diese Liegenschaft vor Kurzem geplündert. Die Bauern bewaffnen sich und sind fest entschlossen, ihre Heimat zu verteidigen.;;Los nómadas han saqueado recientemente este asentamiento. Los campesinos se están armando, empeñados en defender sus hogares.;;;;;;;;;x
burnt_the_land;Ravaged Lands;Terres dévastées;Verwüstete Länder;;Tierras devastadas;;;;;;;;;x
#desc_burnt_the_land;Frequent brutal raids by nomadic hordes have left this land in a ravaged state.;De fréquents pillages par des hordes nomades ont laissé cette terre dévastée.;Unablässige und brutale Raubzüge nomadischer Horden haben dieses Land verwüstet.;;Frecuentes ataques brutales de hordas nómadas han dejado esta tierra en un estado devastado.;;;;;;;;;x
EVTDESC_HL_4813;Your horde swarms into the holding of [From.GetName] as the walls crumble and fall. They are intent on plundering, but won't go ahead unless you, their [Root.GetTitle], give them permission to do so.;Votre horde entre en masse dans [From.GetName] alors que les murs d'enceinte s'effondrent. Vos hommes sont résolus à piller, mais ne le feront pas sans que vous, leur [Root.GetTitle], leur en donniez l'autorisation.;Eure Horde durchbricht den Schutzwall und fällt in die Liegenschaft von [From.GetName] ein. Eure Krieger möchten plündern, aber sie warten darauf, dass Ihr, ihr[Root.GeteFemale] [Root.GetTitle], ihnen die Erlaubnis dazu erteilt.;;Tu horda irrumpe en el asentamiento de [From.GetName] según las murallas se derrumban y caen. Están decididos a saquear, pero la horda no seguirá adelante a menos que tú,  su [Root.GetTitle], les dé permiso para hacerlo.;;;;;;;;;x
EVTOPTA_HL_4813;Bring back the spoils to me and we will divide them between us!;Ramenez-moi le butin et nous le partagerons !;Bringt mir die gesamte Beute und wir werden sie unter uns aufteilen!;;¡Traedme el botín a mí y los dividiremos entre nosotros!;;;;;;;;;x
EVTOPTB_HL_4813;Anything you see is yours for the taking.;Tout ce que vous voyez est à vous.;Nehmt euch alles, was ihr finden könnt.;;Todo lo que ves es tuyo para que te lo lleves.;;;;;;;;;x
#recently_burnt_the_land_not_owner;Plundered by Nomads;Pillé par des nomades;Von Nomaden geplündert;;Saqueado por nómadas;;;;;;;;;x
#desc_recently_burnt_the_land_not_owner;This county has been plundered by Nomads. For as long as this modifier remains, the county cannot be plundered again.;Ce comté a été pillé par des nomades. Tant qu'existe ce modificateur, le comté ne peut pas être pillé.;Diese Grafschaft wurde von Nomaden geplündert. Solange dieser Modifikator aktiv ist, kann die Grafschaft nicht erneut geplündert werden.;;Este condado ha sido saqueado por los nómadas. Mientras este modificador permanece, el condado no puede volver a ser saqueado.;;;;;;;;;x
EVTDESC_HL_4814;Your horde has looted, ravaged, pillaged and plundered [target_location.GetName] to such a degree that a holding in the county has been completely devastated. All that is left is a smattering of rubble among our new grazing lands - our horses will surely like it here!;Votre horde a pillé et ravagé [target_location.GetName] à un tel degré qu'une propriété dans le comté a été complètement dévastée. Tout ce qui reste ce sont des petits tas de décombres au milieu de nos nouveaux pâturages tant appréciés par nos chevaux !;Eure Horde hat [target_location.GetName] derart geplündert, verwüstet, gebrandschatzt und ausgenommen, dass eine Liegenschaft in der Grafschaft völlig vernichtet wurde. Nur ein Haufen Geröll auf unserem neuen Weideland erinnert noch daran. Unsere Pferde werden sich hier sehr wohlfühlen!;;La Horda ha saqueado, devastado y pillado [target_location.GetName] hasta tal extremo que un asentamiento en el condado ha sido completamente devastada. No quedan más que un puñado de escombros entre nuestros nuevos pastos ¡seguro que a nuestros caballos les gusta este lugar!;;;;;;;;;x
EVTOPTA_HL_4814;We will use the corpses to fertilize the fields!;Nous utiliserons les cadavres pour fertiliser les champs !;Wir werden die Felder mit den Leichen düngen!;;¡Usaremos los cadáveres para fertilizar los campos!;;;;;;;;;x
throne_of_skulls;Throne of Skulls;Trône de crânes;Schädelthron;;Trono de cráneos;;;;;;;;;x
desc_throne_of_skulls;The skulls of this county's deceased population has been fashioned into a massive, gruesome throne.;Les crânes de la population décédée de ce comté ont été agencés pour former un énorme et horrible trône.;Aus den Schädeln der toten Bevölkerung dieser Grafschaft wurde ein massiver, grausiger Thron gefertigt.;;Los cráneos de población fallecida de este condado han sido reunidos en un trono enorme, espantoso.;;;;;;;;;x
EVTOPTB_HL_4814;I shall have the skulls of the dead fashioned into a throne.;Je vais faire modeler un trône avec les crânes des morts.;Ich werde einen Thron aus den Schädeln der Toten anfertigen lassen.;;Montaré los cráneos de los muertos en forma de trono.;;;;;;;;;x
EVTOPTC_HL_4814;We shall feast and sacrifice whoever is left in the name of [Root.Religion.GetHighGodNameCap]!;Nous ferons la fête et nous sacrifierons tous ceux encore en vie pour [Root.Religion.GetHighGodName] !;Wir werden feiern und alle Überlebenden im Namen von [Root.Religion.GetHighGodNameCap] opfern!;;Daremos un festín y sacrificaremos a quienes queden en nombre de [Root.Religion.GetHighGodNameCap]!;;;;;;;;;x
nomadic_rites;Nomadic Rites;Rites nomades;Nomadische Rituale;;Ritos nómadas;;;;;;;;;x
desc_nomadic_rites;The Nomads of this county frequently perform war and fertility rites.;Les nomades de ce comté font souvent la guerre et des rites de fertilité.;Die Nomaden in dieser Grafschaft führen regelmäßig Kriegs- und Fruchtbarkeitsrituale durch.;;Los Nómadas de este condado realizan con frecuencia ritos de fertilidad y guerra.;;;;;;;;x
bubonic_plague;Black Death;Peste noire;Schwarzer Tod;;Muerte Negra;;;;;;;;;x
annoyed_religious;Annoyed Religious Authorities;A contrarié les autorités religieuses;Verärgerte religiöse Autoritäten;;Autoridades religiosas enojadas;;;;;;;;;x
#good_times;Had a Great Time;A passé un bon moment;Hat sich sehr vergnügt;;Me lo pasé bien;;;;;;;;;x
HOSPITAL_AVAILABLE;Meets the prerequisites for building a §YHospital§!;A les prérequis pour pouvoir établir un §Yhôpital§!;Erfüllt die Voraussetzungen für den Bau eines §YHospitals§!;;¡Cumple los requisitos previos para construir un §YHospital§!;;;;;;;;;x
nick_the_resilient;the Resilient;[This.GetLeLa] Coriace;[This.Getderdie] Unverwüstliche;;el Resistente;;;;;;;;;x
nick_one_eye;One-Eye;[This.GetLeLa] Borgne;[This.Getderdie] Einäugige;;Tuerto;;;;;;;;;x
nick_one_hand;One-Hand;[This.GetLeLa] Manchot[This.GetNoneE];[This.Getderdie] Einhändige;;Manco;;;;;;;;;x
nick_one_leg;the Legless;l'Unijambiste;[This.Getderdie] Beinlose;;Sin piernas;;;;;;;;;x
nick_of_a_thousand_faces;of a Thousand Faces;aux Mille Visages;[This.Getderdie] Vielgesichtige;;del millar de caras;;;;;;;;;x
nick_the_cannibal;the Cannibal;[This.GetLeLa] Cannibale;[This.Getderdie] Menschenfresser[This.GetinFemale];;el/la Caníbal;;;;;;;;;x
nick_the_frail;the Frail;[This.GetLeLa] Frêle;[This.Getderdie] Gebrechliche;;el/la Frágil;;;;;;;;;x
nick_the_weak;the Weak;[This.GetLeLa] Faible;[This.Getderdie] Weichliche;;el/la Débil;;;;;;;;;x
nick_the_brute;the Brute;la Brute;[This.Getderdie] Ungehobelte;;el/la Bruto;;;;;;;;;x
nick_the_plaguebearer;the Plaguebearer;[This.GetLeLa] Pestiféré[This.GetNoneE];[This.Getderdie] Seuchenbringer[This.GetinFemale];;el/la Portador/a de la Peste;;;;;;;;;x
nick_the_persevering;the Persevering;[This.GetLeLa] Persévérant[This.GetNoneE];[This.Getderdie] Beharrliche;;el/la Perseverante;;;;;;;;;x
nick_the_repulsive;the Repulsive;[This.GetLeLa] Repoussant[This.GetNoneE];[This.Getderdie] Abstoßende;;el/la Repugnante;;;;;;;;;x
nick_the_frog;the Frog;la Grenouille;[This.Getderdie] Froschartige;;la Rana;;;;;;;;;x
nick_the_mule;the Tenacious;[This.GetLeLa] Tenace;[This.Getderdie] Störrische;;el/la Tenaz;;;;;;;;;x
nick_the_wealthy;the Wealthy;[This.GetLeLa] Fortuné[This.GetNoneE];[This.Getderdie] Wohlhabende;;el/la Rico/a;;;;;;;;;x
nick_the_lord_of_realm;the [Root.GetLordLady] of [Root.PrimaryTitle.GetName];[Root.GetLeLa] [Root.GetLordLady] de [Root.PrimaryTitle.GetName];[This.Getderdie] [Root.GetLordLady] von [Root.PrimaryTitle.GetName];;el/la [Root.GetLordLady] de [Root.PrimaryTitle.GetName];;;;;;;;;x
nick_twistedbeard;Twistedbeard;Barbetorte;der Krummbart;;Barba torcida;;;;;;;;;x
nick_the_faceless;the Faceless;Sans Visage;[This.Getderdie] Gesichtslose;;el/la Sin rostro;;;;;;;;;x
nick_the_destroyer;the Destroyer;[This.GetLeLa] Destruct[This.GetEurRice];[This.Getderdie] Zerstörer[This.GetinFemale];;el/la Destructor;;;;;;;;;x
nick_the_scourge_of_god;the Scourge of [nickname_target.Religion.GetHighGodName];le Fléau [nickname_target.GetHighGodDuDelaDes];die Geißel von [nickname_target.Religion.GetHighGodName];;el Azote de [nickname_target.Religion.GetHighGodName];;;;;;;;;x
nick_the_slayer_of_culture;Slayer of the [nickname_target.Culture.GetName];la Faucheuse d'âmes [nickname_target.Culture.GetName]s;[This.Getderdie] Schlächter[This.GetinFemale] der [nickname_target.Culture.GetName]en;;el/la Mata[nickname_target.Culture.GetName];;;;;;;;;x
nick_the_terror_of_provincename;the Terror of [nickname_target.GetName];la Terreur de [nickname_target.GetName];der Schrecken von [nickname_target.GetName];;el terror de [nickname_target.GetName];;;;;;;;;x
nick_the_butcher;the Butcher;[This.GetLeLa] Bouch[This.GetErEre];[This.Getderdie] Schlachter[This.GetinFemale];;el/la Carnicero/a;;;;;;;;;x
nick_son_of_evilgod;[This.GetSonDaughterCap] of [This.Religion.GetRandomEvilGodName];[This.GetSonDaughterCap] [This.GetEvilGodDuDelaDes];[This.Getderdie] [This.GetSonDaughterCap] von [This.Religion.GetRandomEvilGodName];;[From.GetSonDaughterCap] de [From.Religion.GetRandomEvilGodName];;;;;;;;;x
nick_the_cleansing_flame;the Cleansing Flame;le Feu Purificateur;die läuternde Flamme;;la Llama purificadora;;;;;;;;;x
nick_the_witch_hunter;the Witch Hunter;[This.GetLeLa] Chasseu[This.GetRSe] de sorcière;[This.Getderdie] Hexenjäger[This.GetinFemale];;el/la Cazador/a de Brujas;;;;;;;;;x
nick_the_vengeful;the Vengeful;[This.GetLeLa] Veng[This.GetEurEresse];[This.Getderdie] Rachsüchtige;;el/la Vengativo /a;;;;;;;;;x
nick_the_betrayer;the Betrayer;[This.GetLeLa] Traîtr[This.GetEEsse];[This.Getderdie] Verräter[This.GetinFemale];;el/la Traidor/a;;;;;;;;;x
nick_the_flayer;the Flayer;[This.GetLeLa] Fouetteu[This.GetRSe];[This.Getderdie] Schinder[This.GetinFemale];;el/la Desollador;;;;;;;;;x
nick_the_tyrant;the Tyrant;[This.GetLeLa] Tyra[This.GetNNne];[This.Getderdie] Tyrann[This.GetinFemale];;el/la Tirano /a;;;;;;;;;x
nick_the_oppressor;the Oppressor;l'Oppresseur;[This.Getderdie] Unterdrücker[This.GetinFemale];;el/la Opresor/a;;;;;;;;;x
nick_the_evil;the Evil;[This.GetLeLa] Malfaisant[This.GetNoneE];[This.Getderdie] Boshafte;;el/la malvado/a;;;;;;;;;x
nick_the_tormentor;the Tormentor;le Bourreau;[This.Getderdie] Peiniger[This.GetinFemale];;el/la Torturador/a;;;;;;;;;x
nick_the_mutilator;the Mutilator;[This.GetLeLa] Mutilat[This.GetEurRice];[This.Getderdie] Verstümmler[This.GetinFemale];;el/la mutilador/a;;;;;;;;;x
nick_the_eastern_wind;the Eastern Wind;le Vent d'est;der Ostwind;;el Viento del Este;;;;;;;;;x
nick_the_despoiler;the Despoiler;[This.GetLeLa] Spoliat[This.GetEurRice];[This.Getderdie] Räuber[This.GetinFemale];;el Saqueador/a;;;;;;;;;x
nick_the_bane_of_realmname;the Bane of [nickname_target.PrimaryTitle.GetName];le Fléau de [nickname_target.PrimaryTitle.GetName];der Fluch von [nickname_target.PrimaryTitle.GetName];;la Ruina de [nickname_target.PrimaryTitle.GetName];;;;;;;;;x
nick_the_depraved;the Depraved;[This.GetLeLa] Dépravé[This.GetNoneE];[This.Getderdie] Lasterhafte;;el/la depravado/a;;;;;;;;;x
nick_the_monster;the Monster;le Monstre;das Monster;;el/la Monstruo;;;;;;;;;x
nick_the_abomination;the Abomination;l'Abomination;[This.Getderdie] Abscheuliche;;la Abominación;;;;;;;;;x
nick_the_culture_marauder;the [nickname_receiver.Culture.GetName] Marauder;[nickname_receiver.GetLeLa] Pillard[nickname_receiver.GetNoneE] [nickname_receiver.GetCultureMascFem];[This.Getderdie] [nickname_receiver.Culture.GetName]e Marodeur[This.GetinFemale];;el/la Merodeador/a [nickname_receiver.Culture.GetName];;;;;;;;;x
nick_the_boar;the Boar;le Sanglier;das Wildschwein;;el/la Jabalí;;;;;;;;;x
nick_the_kingslayer;the [Root.GetTitle]slayer;[Root.GetLeLa] Régicide;[This.Getderdie] Königsmörder[This.GetinFemale];;el/la Mata[Root.GetTitle];;;;;;;;;x
nick_the_witch;the [Root.GetWarlockWitch];[Root.GetLeLa] [Root.GetWarlockWitch];[This.Getderdie] [Root.GetWarlockWitch];;el/la [Root.GetWarlockWitch];;;;;;;;;x
nick_the_undying;the Undying;l'Éterne[This.GetLLle];[This.Getderdie] Unsterbliche;;el/a Eterno/a;;;;;;;;;x
nick_the_bear;the Bear;l'Ours;[This.Getderdie] Bär[This.GetinFemale];;el/la Oso/a;;;;;;;;;x
EVTDESC_RIP_4020;Your friend, Court Physician [physician_target.GetFirstName], is always hard at work researching. Bubbling cauldrons, colorful exotic herbs, sharpened glistening tools and all manner of other interesting things fill [physician_target.GetHerHis] study... It is all rather intriguing, perhaps you could learn something if you were to join [physician_target.GetHerHim] for a while?;Votre ami[physician_target.GetNoneE], le physicien de la Cour [physician_target.GetFirstName], poursuit ses recherches. Chaudrons bouillonnants, herbes exotiques colorées, outils aiguisés luisants, et toutes sortes d'autres choses intéressantes remplissent dans son laboratoire... Tout ceci est plutôt intrigant, et vous pourriez peut-être apprendre des choses si vous étiez [physician_target.GetLeLa] rejoignez pendant quelque temps ?;Im Arbeitszimmer von [physician_target.GetFirstName] gibt es jede Menge blubbernde Kessel, fremdartige, vielfarbige Kräuter, geschärfte, glänzende Instrumente und allerlei andere interessante Dinge, denn [physician_target.GetSheHe] widmet sich stets und ausgiebig der Forschung. All dies interessiert Euch brennend, und vielleicht könntet Ihr das ein oder andere von [physician_target.GetFirstName] lernen?;;Tu amigo/a [physician_target.GetFirstName], el médico de la corte, siempre trabaja duro investigando. Calderos burbujeantes calderos, hierbas de colores exóticos, herramientas afiladas relucientes y otras cosas interesantes de todo tipo llenan [physician_target.GetHerHis] estudio... Es todo bastante intrigante, ¿a lo mejor si [physician_target.GetHerHim] acompañases podrías aprender algo?;;;;;;;;;x
EVTOPTA_RIP_4020;That sounds interesting!;Cela a l'air intéressant !;Das klingt interessant!;;¡Esto suena interesante!;;;;;;;;;x
EVTOPTB_RIP_4020;I'd rather not disturb [physician_target.GetHerHim].;Je ne vais pas [physician_target.GetLeLa] déranger.;Ich möchte [physician_target.GetHerHim] lieber nicht stören.;;Prefiero no interrumpir [physician_target.GetHerHim].;;;;;;;;;x
EVTDESC_RIP_4021_EXCELLENT;The days pass as you observe and study the work of [physician_target.GetFirstName]. After but a few days YOU are the one teaching [physician_target.GetHerHim] what to do! [physician_target.GetFirstName] doesn't seem upset, but rather seems overjoyed to be able to work with someone of a matching intellect. It doesn't take long before you manage to brew a surprisingly invigoration potion!;Les jours passent alors que vous observez et étudiez le travail de [physician_target.GetFirstName]. Après quelques jours, c'est vous qui lui expliquez ce qu'il faut faire ! [physician_target.GetFirstName] ne semble pas contrarié[physician_target.GetNoneE], et semble même plutôt ravi[physician_target.GetNoneE] de pouvoir travailler avec quelqu'un d'une intelligence égale. Il ne faut pas longtemps avant que vous parveniez à préparer une potion étonnamment revigorante !;Ihr verbringt einige Tage damit, [physician_target.GetFirstName] bei der Arbeit zuzusehen und so viel wie möglich zu lernen. Doch schon nach kurzer Zeit erklärt IHR [physician_target.GetFirstName], was zu tun ist! [physician_target.GetSheHeCap] scheint darüber nicht erbost, sondern vielmehr hocherfreut, mit jemandem auf demselben intellektuellen Niveau zusammenarbeiten zu können. Schon bald gelingt es Euch, einen erstaunlich belebenden Trank zu brauen!;;Los días pasan mientras observas y estudias el trabajo de [physician_target.GetFirstName]. ¡A los pocos días eres tú quien [physician_target.GetHerHim] enseña qué hacer! [physician_target.GetFirstName] no parece disgustado, sino más bien encantado de poder trabajar con alguien con igual intelecto. ¡No lleva mucho tiempo antes de que logres preparar una sorprendente poción revitalizadora!;;;;;;;;;x
EVTDESC_RIP_4021_GOOD;The days pass as you observe and study the work of [physician_target.GetFirstName]. You dissect small animals, brew potions and take endless notes - and have a blast doing so! [physician_target.GetFirstName] enjoyed your presence, and you seem to have learned something to boot.;Les jours passent alors que vous observez et étudiez le travail de [physician_target.GetFirstName]. Vous disséquez de petits animaux, préparez des potions et prenez des notes continuellement - et prenez grand plaisir à le faire ! [physician_target.GetFirstName] apprécie votre présence, et vous semblez avoir appris de quoi démarrer.;Ihr verbringt einige Tage damit, [physician_target.GetFirstName] bei der Arbeit zuzusehen und so viel wie möglich zu lernen. Ihr seziert kleine Tiere, braut Tränke und macht Euch jede Menge Notizen ... und genießt diese Arbeit in vollen Zügen! [physician_target.GetFirstName] genoss die Zeit mit Euch, und Ihr habt jede Menge gelernt.;;Los días pasan mientras observas y estudias el trabajo de [physician_target.GetFirstName]. Disecas animalitos, preparas pociones, tomas notas sin fin ¡y te diviertes haciéndolo! [physician_target.GetFirstName] disfrutó de tu presencia, y encima parece haber aprendido algo.;;;;;;;;;x
EVTDESC_RIP_4021_MIDDLING;You spend a few days observing [physician_target.GetFirstName]'s work. You don't understand much, but [physician_target.GetSheHe] still attempts to show and teach you what [physician_target.GetSheHe]'s doing. It seems as if you learned something after all!;Vous avez passé quelques jours à observer le travail de [physician_target.GetFirstName]. Vous n'y comprenez pas grand-chose, mais [physician_target.GetIlElle] tente de vous enseigner ce qu' [physician_target.GetIlElle] fait et finissez par quand même apprendre des choses.;Ihr beobachtet [physician_target.GetFirstName] mehrere Tage lang bei der Arbeit. Ihr versteht nicht viel, doch [physician_target.GetSheHe] versucht dennoch, Euch so viel wie möglich zu zeigen und zu erklären. Ihr scheint immerhin ein bisschen gelernt zu haben!;;Pasas unos días observando el trabajo de [physician_target.GetFirstName]. No entiendes mucho, pero [physician_target.GetSheHe] sigue intentando mostrarte y enseñarte lo que [physician_target.GetSheHe] está haciendo. ¡Parece que después de todo hayas aprendido algo!;;;;;;;;;x
