#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zurzeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x
CAN_ONLY_JOIN_X_FACTIONS;§ROnly allowed to join §Y$NUM$§! Factions!§!;§RVous ne pouvez rejoindre que §Y$NUM$§! Factions !§!;Ihr dürft nur §Y$NUM$§! Fraktionen beitreten!;;¡Solo puedes unirte a §Y$NUM$§! Facciones!;;;;;;;;;x
EVTOPTA_RoI_146;Yet they shall follow me.;Fatigués ou non, ils m'obéiront.;Und doch sollen sie mir folgen!;;Aun así, deben seguirme.;;;;;;;;x
EVTOPTB_RoI_146;Onward! They will learn to fear us in the East as well!;En avant ! À l'Est aussi ils apprendront à nous craindre !;Vorwärts! Auch im Osten sollen sie uns fürchten!;;¡Adelante! Aprenderán a temernos también en el este.;;;;;;;;x
hindu_ascetic;Ascetic;Ascète;Asket;;Asceta;;;;;;;;x
buddhist_ascetic;Ascetic;Ascète;Asket;;Asceta;;;;;;;;x
jain_naked_ascetic;Walks Naked;Vit nu;Läuft nackt;;Camina Desnudo;;;;;;;;x
realm_hindus_insulted;Hindus in your realm are insulted;Les hindous qui vivent dans votre pays sont insultés.;Hindus in Eurem Reich sind beleidigt;;Los hindúes en tu reino están ofendidos;;;;;;;;x
realm_buddhists_insulted;Buddhists in your realm are insulted;Les bouddhistes qui vivent dans votre pays sont insultés.;Buddhisten in Eurem Reich sind beleidigt;;Los budistas en tu reino están ofendidos;;;;;;;;x
realm_jains_insulted;Jains in your realm are insulted;Les jaïns qui vivent dans votre pays sont insultés.;Jainisten in Eurem Reich sind beleidigt;;Los Jaina en tu reino están ofendidos;;;;;;;;x
EVTDESC_RoI_203;A Hindu yogi has appeared at your court, seeking audience. He speaks of the many Hindu gods and how to reach for wisdom and power by honoring them and follow the wisdom of the Mahabharata.;Un yogi hindou se présente à votre cour et vous demande audience. Il parle des nombreux dieux hindous, du fait qu'on peut atteindre la sagesse et la puissance en les honorant, et de la sagesse du Mahabharata.;Ein hinduistischer Yogi erschien an Eurem Hof und bat um eine Audienz. Er spricht von den vielen Göttern der Hindu und wie man Wissen und Macht erlangt, indem man sie ehrt und der Weisheit des Mahabharata folgt.;;Un yogui hindú aparece en tu corte, buscando audiencia. Habla de los múltiples dioses hindúes y de cómo alcanzar la sabiduría y el poder honrándolos y siguiendo la sabiduría del Mahábharata.;;;;;;;;x
EVTOPTA_RoI_203;Tell me more...;Je veux en savoir davantage...;Erzählt mir mehr...;;Cuéntame más...;;;;;;;;x
EVTOPTB_RoI_203;If you have finished talking, you may leave.;Si vous en avez fini, vous pouvez partir.;Wenn Ihr Eure Erzählung beendet habt, könnt Ihr gehen.;;Si has terminado de hablar, puedes irte.;;;;;;;;x
EVTOPTC_RoI_203;I don't need your strange, pathetic demon-gods. Guards, throw him out!;Je n'ai pas besoin de vos dieux-démons étranges et pathétiques. Gardes, jetez-moi ça dehors !;Ich brauche Eure seltsamen, erbärmlichen Dämonengötter nicht. Wachen, werft ihn raus!;;No necesito tus extraños y patéticos dioses-demonio. ¡Guardias, echadle!;;;;;;;;x
EVTDESC_RoI_204;The yogi continues to elaborate on the way of ascetism and yoga and how to live a spiritual life through discipline and mediation.;Le yogi continue à vous parler de la voie de l'ascétisme et du yoga, et de la manière de vivre une vie spirituelle par l'entremise de la discipline et de la méditation.;Der Yogi fährt fort, über die Wege der Askese und das spirituelle Leben durch Disziplin und Meditation zu reden.;;El yogui continúa relatando el camino del ascetismo y el yoga y cómo vivir una vida espiritual a través de la disciplina y la meditación.;;;;;;;;x
EVTOPTA_RoI_204;You have convinced me. I too shall embrace yoga and ascetism!;Tu m'as convaincu. Moi aussi je pratiquerai le yoga et l'ascétisme !;Ihr habt mich überzeugt! Ich werde Yoga und Askese annehmen!;;Me has convencido. ¡Practicaré el yoga y el ascetismo!;;;;;;;;x
EVTOPTB_RoI_204;You are wise. I shall take up the Hindu faith.;Tu es sage. J'adopterai la religion hindoue.;Ihr seid weise. Ich werde den Hindu-Glaube annehmen.;;Eres sabio. Debo aceptar la fe hindú.;;;;;;;;x
EVTOPTC_RoI_204;On second thought, this is perhaps not for me.;En y réfléchissant bien, je pense que ce n'est pas pour moi.;Vielleicht ist das doch nicht das Richtige für mich.;;Pensándolo mejor, creo que no es para mí.;;;;;;;;x
EVTDESC_RoI_206;A Buddhist yogi has appeared at your court, seeking audience. He speaks to you of the ways of the Buddha and of how to reach wisdom by rejecting excess and moderating your desires.;Un yogi bouddhiste se présente à votre cour et vous demande audience. Il vous parler de l'enseignement du Bouddha et de la manière d'accéder à la sagesse en rejetant les excès et en modérant ses désirs.;Ein buddhistischer Yogi erschien an Eurem Hof und bat um eine Audienz. Er spricht von den Wegen des Buddha und wie man Weisheit durch das Zurückweisen von Überfluss und dem Beherrschen der Wünsche erreicht.;;Un yogui budista aparece en tu corte, buscando audiencia. Habla de los caminos del Buda y de cómo alcanzar la sabiduría rechazando el exceso y moderando los deseos.;;;;;;;;x
EVTOPTC_RoI_206;I don't need your pseudo-philosophy. Guards, throw him out!;Je n'ai pas besoin de cette pseudo-philosophie. Gardes, jetez-moi ça dehors !;Ich brauche Eure Pseudo-Philosophie nicht. Wachen, werft ihn raus!;;No necesito tu seudo-filosofía. ¡Guardias, echadle!;;;;;;;;x
EVTOPTA_RoI_207;You have convinced me. It's Buddha time...;Tu m'as convaincu. Bouddha, je viens à toi...;Ihr habt mich überzeugt. Es ist Zeit für Buddha...;;Me has convencido. Hora de Buda...;;;;;;;;x
EVTOPTB_RoI_207;You are wise. I shall take up the Buddhist faith.;Tu es sage. J'adopterai le bouddhisme.;Ihr seid weise. Ich werde den Glauben an Buddha annehmen.;;Eres sabio. Debo aceptar la fe budista.;;;;;;;;x
EVTOPTC_RoI_207;On second thought, this is perhaps not for me.;En y réfléchissant bien, je pense que ce n'est pas pour moi.;Vielleicht ist das doch nicht das Richtige für mich.;;Pensándolo mejor, creo que no es para mí.;;;;;;;;x
EVTDESC_RoI_209;A naked Jain ascetic has appeared at your court, seeking audience. Sitting before you in the throne room, he criticizes your lifestyle, calls you sinful and speaks to you of the Jain ways of harmony and purity.;Un yogi jaïn se présente à votre cour et vous demande audience. Assis devant vous dans la salle du trône, il critique votre style de vie, vous traite de pécheur et vous parle du jaïnisme, d'harmonie et de pureté.;Ein nackter Asket der Jainisten erschien an Eurem Hof und bat um eine Audienz. Vor Euch im Thronsaal sitzend, kritisiert er Euren Lebensstil, nennt Euch sündig und erzählt von der jainistischen Reinheit und Harmonie.;;Un Jaina desnudo aparece en tu corte, buscando audiencia. Sentado ante ti en el salón del trono, critica tu estilo de vida, te llama pecaminoso y te cuenta los caminos Jaina para la armonía y la pureza.;;;;;;;;x
EVTOPTB_RoI_209;Put some clothes on, man!;Commence déjà par t'habiller !;Zieht Kleider an, Mann!;;¡Vístete, hombre!;;;;;;;;x
EVTOPTC_RoI_209;Call me sinful, will you? Guards, take him out and behead him!;C'est moi que tu traites de pécheur ? Gardez, sortez-le de là et décapitez-le.;Ihr nennt mich sündig? Wachen, bringt ihn raus und enthauptet ihn!;;¿Y tú me llamas pecaminoso? ¡Guardas, prendedlo y cortadle la cabeza!;;;;;;;;x
EVTDESC_RoI_210;The naked Jain ascetic continues to elaborate on the way of ascetism and yoga and how to seek spiritual purity through discipline and mediation.;L'ascète jaïn nu continue à vous parler de la voie de l'ascétisme et du yoga, et de la recherche de la pureté spirituelle par l'entremise de la discipline et de la méditation.;Der nackte jainistische Asket spricht weiter über den Weg der Askese und Yoga und über das Erreichen der spirituellen Reinheit durch Disziplin und Meditation.;;El desnudo Jaina continúa relatando el camino del ascetismo y el yoga y cómo buscar la pureza espiritual a través de la disciplina y la meditación.;;;;;;;;x
EVTOPTA_RoI_210;You have convinced me. I too shall walk naked!;Tu m'as convaincu. Moi aussi j'abandonne mes vêtements !;Ihr habt mich überzeugt. Auch ich werde nackt laufen!;;Me has convencido. ¡Caminaré desnudo!;;;;;;;;x
EVTOPTB_RoI_210;You are wise. I shall take up the Jain faith.;Tu es sage. J'adopterai le jaïnisme.;Ihr seid weise. Ich werde den Jainismus annehmen.;;Eres sabio. Debo aceptar la fe jaina.;;;;;;;;x
EVTOPTC_RoI_210;On second thought, this is perhaps not for me.;En y réfléchissant bien, je pense que ce n'est pas pour moi.;Vielleicht ist das doch nicht das Richtige für mich.;;Pensándolo mejor, creo que no es para mí.;;;;;;;;x
EVTDESC_RoI_215;My [Root.GetLordLady], a huge diamond has been found in a mine in one of your provinces. It is truly one of those stones that are found once every five centuries! The only question now is, of course: what do you wish to do with it?;M[Root.GetOnA][Root.GetLordLady], un gigantesque diamant a été découvert dans une de vos provinces. C'est vraiment le genre de pierre que l'on ne trouve qu'une fois tous les cinq cents ans ! La seule question est de savoir ce que vous voulez en faire.;Mein [Root.GetLordLady], ein großer Diamant wurde in den Minen einer Eurer Provinzen gefunden. Wahrlich, ein solcher Stein wird nur einmal in fünf Jahrhunderten gefunden. Die Frage ist: Was wollt Ihr damit tun?;;Mi [Root.GetLordLady], se ha encontrado un enorme diamante en una mina de una de vuestras provincias. ¡Es una de esas piedras que se encuentran una vez en siglos! La única cuestión pendiente es: ¿Qué deseas hacer con él?;;;;;;;;x
EVTOPTA_RoI_215;I shall wear it in a magnificent new crown!;Je le porterai sur une nouvelle couronne, ce sera magnifique !;Ich werde ihn in einer wunderschönen neuen Krone tragen!;;¡Lo llevaré en una nueva y majestuosa corona!;;;;;;;;x
EVTOPTB_RoI_215;I will hide it in the treasury, where it's safe.;Je le conserverai dans mon trésor, il y sera en sécurité.;Ich werde ihn in der Schatzkammer verstecken. Dort ist er sicher.;;Lo esconderé en la sala del tesoro, donde estará a salvo.;;;;;;;;x
EVTOPTC_RoI_215;I will give it to my [Root.Spouse.GetHusbandWife], [Root.Spouse.GetTitledFirstName].;Je le donnerai à m[Root.Spouse.GetOnA] [Root.Spouse.GetHusbandWife], [Root.Spouse.GetTitledFirstName].;Ich werde ihn [Root.Spouse.GetTitledFirstName] schenken.;;Se lo daré a mi [Root.Spouse.GetHusbandWife], [Root.Spouse.GetTitledFirstName].;;;;;;;;x
EVTOPTD_RoI_215;It's worth a fortune, sell it!;Ce diamant doit valoir une fortune, vendons-le !;Er ist ein Vermögen wert. Verkauft ihn!;;¡Vale una fortuna, véndelo!;;;;;;;;x
EVTDESC_RoI_216;As you sit in your throne room, the huge diamond sparkles in your magnificent crown. It casts a lustrous brilliance over everyone present, a brilliance that echoes in your reputation across the realm.;Assis dans la salle du trône, vous contemplez ce gigantesque diamant qui scintille sur votre magnifique couronne. Son éclat somptueux éclaire l'assistance et par le fait même votre royaume tout entier.;Während Ihr in eurem Thronsaal sitzt, funkelt der riesige Diamant in Eurer großartigen Krone. Er strahlt brillantes Licht auf alle Anwesenden. Diese Brillanz spiegelt sich auch in Eurem Ruf im Reiche wider.;;Mientras te sientas en el salón del trono, el enorme diamante destella en la magnífica corona. Proyecta un lustroso brillo sobe todos los presentes, un brillo que propaga tu reputación por el reino.;;;;;;;;x
EVTOPTA_RoI_216;It is glorious!;Quelle gloire !;Er ist glorreich!;;¡Es glorioso!;;;;;;;;x
EVTDESC_RoI_217;You are riding with a troops of soldiers through a nearby town, returning from inspecting your lands. You are wearing your magnificent crown. Suddenly, someone jumps at you from an overhanging roof and tries to grab your crown. The thief misses, however, and breaks his neck in the fall.;Vous traversez à cheval une ville voisine escorté de quelques soldats, de retour d'une inspection dans vos terres. Vous portez votre magnifique couronne. Soudain, quelqu'un saute sur vous depuis un toit et s'empare de votre couronne. Cependant, le voleur manque son coup et se casse le cou en tombant.;Ihr reitet mit einem Trupp Soldaten durch eine nahe Stadt, auf der Rückkehr von einer Kontrolle Eurer Ländereien. Ihr tragt Eure prachtvolle Krone. Plötzlich springt jemand von einem überstehenden Dach und versucht, Eure Krone zu greifen. Der Dieb verfehlt sie, fällt herab und bricht sich beim Sturz das Genick.;;Cabalgas con tu tropa de soldados por un pueblo cercano, regresando de inspeccionar tus tierras. Llevas tu magnífica corona. De repente, alguien salta sobre ti desde un tejado e intenta coger tu corona. Sin embargo, el ladrón falla y se rompe el cuello en la caída.;;;;;;;;x
EVTOPTA_RoI_217;That was close.;Il s'en est fallu de peu !;Das war knapp!;;Estuvo cerca.;;;;;;;;x
EVTDESC_RoI_218;You are out in the countryside, inspecting forest-clearing work being done by your subjects. You are wearing your magnificent crown. As usual, elephants are employed for the heavy work. The sun catches your huge diamond and it sparkles wildly, blinding a nearby elephant who panics! The animal rampages through your company, injuring several people severely.;Vous êtes à la campagne en train d'inspecter les travaux de déboisement auxquels se livrent vos sujets. Vous portez votre magnifique couronne. Comme d'habitude, les éléphants sont mis à contribution pour les tâches les plus difficiles. Le soleil se reflète dans votre énorme diamant et un éléphant, aveuglé par l'éclat, commence à paniquer ! L'animal saccage tout sur son passage et plusieurs personnes sont grièvement blessées.;Ihr seid im Land unterwegs und überprüft Waldrodungen. Ihr tragt dabei Eure wunderbare Krone. Wie üblich werden bei den Waldarbeiten Elefanten eingesetzt. Die Sonne fängt sich in Eurem großen Diamanten und er funkelt stark - ein naher Elefant wird geblendet und gerät in Panik. Der Elefant wütet durch Eure Begleiter und verletzt einige.;;Estás en el campo, inspeccionando el trabajo de limpieza de bosques de tus súbditos. Llevas tu magnífica corona. Como siempre, se emplean elefantes para el trabajo pesado. ¡El sol se refleja en tu enorme diamante, cegando a uno de los elefantes cercanos que entra en pánico! El animal arrasa tu compañía, hiriendo gravemente a varias personas.;;;;;;;;x
EVTOPTA_RoI_218;Oh no!;Oh non !;Oh nein!;;¡Oh, no!;;;;;;;;x
EVTDESC_RoI_220;Sleeping in bed at night, you wake to the sound of furtive footsteps. As you sit up, you see [From.GetFullName] in the process of removing your diamond crown from its place near your bed. As you cry out, [From.GetSheHe] pulls a knife and stabs at you. You scream, and moments later your guards enter and seize the thief. Enraged, you order [From.GetHerHim] executed on the spot.;Alors que vous dormez, vous vous réveillez soudainement. Des bruits de pas furtifs ! Vous vous redressez et voyez [From.GetFullName] qui tente de retirer le diamant de votre couronne posée près de votre lit. Alors que vous poussez un cri, [From.GetIlElle] sort un couteau et vous attaque. Vous hurlez et quelques instants plus tard, vos gardes entrent et s'emparent du voleur. De rage, vous ordonnez son exécution immédiate.;Während des Nachtschlafs werdet Ihr vom Geräusch leiser Schritte geweckt. Als Ihr aufseht, erblickt Ihr [From.GetFullName] beim Versuch, Eure Diamantenkrone von ihrem Platz neben Eurem Bett zu entfernen. Als Ihr aufschreit, zieht [From.GetSheHe] ein Messer und sticht auf Euch ein. Kurz darauf eilen die Wachen herein und nehmen den Dieb fest. Wütend befehlt Ihr sofort [From.GetHerHis]e Hinrichtung.;;Durmiendo en la cama por la noche, te despierta el sonido de unos pasos furtivos. Al incorporarte, ves a [From.GetFullName] quitando el diamante de tu corona en su sitio cerca de la cama. Mientras gritas, [From.GetSheHe] saca un cuchillo y te lo clava. Gritas, y al momento tus guardias entran y reducen al ladrón. Con rabia, ordenas que se le ejecute al momento.;;;;;;;;x
EVTOPTA_RoI_220;This is what happens to thieves and murderers!;Voilà ce qui arrive aux voleurs et aux assassins !;Das verdienen Diebe und Mörder!;;¡Esto es lo que le pasa a ladrones y asesinos!;;;;;;;;x
EVTDESC_RoI_221;You are busy ruling your realm, but in your free moments you take a pause to think of that beautiful large diamond that is hidden safe in your treasury. You are certain that no one else in the world has such a precious treasure.;Pendant les quelques moments de loisirs que vous laissent vos tâches de souverain, vous songez à ce magnifique et gigantesque diamant bien en sécurité dans vos coffres. Vous êtes certain que personne dans le monde ne possède un trésor aussi précieux.;Ihr seid in Eurem Reich beschäftigt, doch in freien Momenten denkt Ihr gern über den wunderschönen, riesigen Diamanten in Eurer sicheren Schatzkammer nach. Ihr seid sicher, dass niemand sonst in der Welt ein so wertvolles Kleinod besitzt.;;Te distraes de las ocupaciones de gobernar tu reino haciendo una pausa para pensar en el hermoso diamante guardado a salvo en tu tesoro. Tienes la seguridad de que nadie más en el mundo tiene tan preciado tesoro.;;;;;;;;x
EVTOPTA_RoI_221;It's mine, all mine.;Il est à moi, tout à moi...;Er ist mein! Ganz mein!;;Es mío, todo mío.;;;;;;;;x
EVTDESC_RoI_222;Lately, you find yourself spending more and more time in your treasury. You go down there to look at your lovely diamond. It really is lovely. When one has such a treasure, one doesn't need people.\nPeople don't sparkle, they wither and die. Diamonds are forever.;Ces derniers temps, vous passez de plus en plus souvent visiter le contenu de vos coffres. Vous aimez vous y rendre et contempler votre magnifique diamant. Il est vraiment beau. Quand on possède un tel trésor, les gens importent peu.\nLes gens ne scintillent pas, ils fanent et meurent. Les diamants sont éternels.;In letzter Zeit verbringt Ihr mehr und mehr Zeit in der Schatzkammer. Dort betrachtet Ihr Euren wundervollen Diamanten. Er ist so lieblich. Wer einen solchen Schatz hat, braucht keine Leute.\nLeute funkeln nicht, Leute altern und sterben. Diamanten sind für die Ewigkeit.;;Más tarde, te das cuenta de que cada vez pasas más tiempo en tu sala del tesoro. Bajas a visitar a tu amado diamante. Es tan adorable. Cuando uno tiene un tesoro así, no necesita gente.\nLa gente no refulge, ellos se apagan y mueren. Los diamantes son para siempre.;;;;;;;;x
EVTOPTA_RoI_222;My precious!;Mon précieux !;Mein Schaaaatz!;;¡Mi tesoro!;;;;;;;;x
EVTDESC_RoI_223;One day, your guard captain comes before you with grave news: 'My [Root.GetLordLady], something terrible has happened! Thieves broke into your treasury last night and stole the great diamond. Nothing else is missing.';Un jour, votre capitaine de la garde vient vous voir avec de mauvaises nouvelles : « M[Root.GetOnA][Root.GetLordLady], quelque chose d'affreux s'est produit ! Des voleurs se sont introduits dans votre salle du trésor et ont volé votre magnifique diamant. Il n'ont rien pris d'autre. »;Eines Tages sucht Euch Euer Wachhauptmann mit traurigen Nachrichten auf: "Oh [Root.GetLordLady], etwas Schreckliches ist geschehen! Diebe sind in die Schatzkammer eingebrochen und haben den großen Diamanten gestohlen. Nichts anderes fehlt.";;Un día, el capitán de tu guardia se presenta con graves noticias. '¡Mi [Root.GetLordLady], algo terrible ha sucedido! Los ladrones han logrado entrar en vuestra cámara del tesoro y robado el diamante. No falta nada más.';;;;;;;;x
EVTOPTA_RoI_223;Disaster!;C'est un désastre !;Desaster!;;¡Desastre!;;;;;;;;x
EVTDESC_RoI_224;Lately, you have been sleeping badly. You worry about your great diamond. You know it should be safe in the treasury, but when you don't see it you worry. Have you really taken all precautions to keep it safe?;Ces derniers temps, vous êtes en proie à des insomnies. Votre beau diamant vous remplit d'inquiétude. Vous savez qu'il est en sécurité dans vos coffres, mais ne pas le voir vous angoisse. Avez-vous pris toutes les précautions pour le protéger ?;In letzter Zeit habt Ihr schlecht geschlafen. Ihr sorgt Euch um Euren Diamanten. Ihr wisst, er ist sicher in der Schatzkammer - und doch: wann immer Ihr ihn nicht seht, sorgt Ihr Euch. Habt Ihr wirklich alle Vorkehrungen für seine Sicherheit getroffen?;;Últimamente, no duermes bien. Te preocupa tu gran diamante. Sabes que debería estar a salvo en la cámara del tesoro, pero cuando no lo ves te preocupas. ¿De verdad has tomado todas las precauciones posibles para que esté a salvo?;;;;;;;;x
EVTOPTA_RoI_224;It drives me crazy!;J'en perds la tête !;Das macht mich noch verrückt!;;¡Me saca de mis casillas!;;;;;;;;x
EVTDESC_RoI_226;Your [Root.Spouse.GetHusbandWife] is very pleased with the magnificent diamond. [Root.Spouse.GetSheHe] keeps it with [Root.Spouse.GetHerHim] all the time, relishing the admiration it attracts from everyone who sees it.;Votre [Root.Spouse.GetHusbandWife] adore ce magnifique diamant. [Root.Spouse.GetIlElleCap] le garde avec [Root.Spouse.GetLuiElle] tout le temps et savoure les témoignages d'admiration de tous ceux qui le voient.;Euer Ehepartner ist sehr dankbar über den großartigen Diamanten. [Root.Spouse.GetSheHe] behält ihn die ganze Zeit bei sich und sonnt sich in der Bewunderung, welche der Edelstein einbringt.;;A tu [Root.Spouse.GetHusbandWife] le encanta el magnífico diamante. [Root.Spouse.GetSheHe] lo mantiene consigo todo el tiempo, deleitándose de la admiración que atrae de quienquiera que lo vea.;;;;;;;;x
EVTOPTA_RoI_226;I am glad [Root.Spouse.GetSheHe] likes the gift!;J'aime voir qu'[Root.Spouse.GetIlElle] apprécie ce présent !;Ich bin froh, dass [Root.Spouse.GetSheHe] das Geschenk mag!;;¡Me satisface que le guste el regalo!;;;;;;;;x
EVTDESC_RoI_228;Your [Root.Spouse.GetHusbandWife] comes to see you, in tears. [Root.Spouse.GetSheHe] tells you that the grand diamond that you gave to [Root.Spouse.GetHerHim] has been stolen while [Root.Spouse.GetSheHe] was riding through a market town. There is no trace of the thief.;Votre [Root.Spouse.GetHusbandWife] vient vous voir, en larmes. [Root.Spouse.GetIlElleCap] vous explique que le beau diamant que vous lui avez offert a été volé pendant qu'[Root.Spouse.GetIlElle] traversait une ville marchande. Le voleur n'a pu être retrouvé.;Euer Ehepartner kommt zu Euch, in Tränen aufgelöst. [Root.Spouse.GetSheHe] erzählt Euch, dass der große Diamant, den Ihr [Root.Spouse.Getihmihr] geschenkt habt, gestohlen wurde, während [Root.Spouse.GetSheHe] durch eine Markstadt ritt. Es gibt keine Spur des Diebes.;;Tu [Root.Spouse.GetHusbandWife] se acerca a ti, llorando. [Root.Spouse.GetSheHe] te cuenta que el gran diamante que le diste ha sido robado mientras paseaba a caballo por el mercado local. No hay rastro del ladrón.;;;;;;;;x
EVTOPTA_RoI_228;Oh no!;Oh non !;Oh nein!;;¡Oh, no!;;;;;;;;x
EVTDESC_RoI_230;You are worried about your [Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName]. Lately, [Root.Spouse.GetSheHe] mostly sits around in [Root.Spouse.GetHerHis] room, fondling [Root.Spouse.GetHerHis] great diamond and talking to [Root.Spouse.GetHerselfHimself]. [Root.Spouse.GetSheHe] doesn't even answer anymore when you try to talk to [Root.Spouse.GetHerHim].;Vous vous inquiétez au sujet de votre [Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName]. Ces derniers temps, [Root.Spouse.GetIlElle] reste dans sa chambre à caresser son diamant et à lui parler. [Root.Spouse.GetIlElleCap] ne répond même plus quand vous lui parlez.;Ihr seid besorgt über Euren Ehepartner [Root.Spouse.GetFirstName]. In letzter Zeit sitzt [Root.Spouse.GetSheHe] meist nur in [Root.Spouse.GetHerHis]em Raum, fingert an [Root.Spouse.GetHerHis]em großen Diamanten und spricht mit sich selbst. [Root.Spouse.GetSheHe] antwortet nicht mal mehr, wenn Ihr mit [Root.Spouse.Getihmihr] zu sprechen versucht.;;Te preocupa tu [Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName]. Últimamente, [Root.Spouse.GetSheHe] pasa todo el tiempo en su habitación, mimando a su gran diamante y hablando con [Root.Spouse.GetHerselfHimself]. [Root.Spouse.GetSheHe] ni siquiera contesta cuando intentas hablarle.;;;;;;;;x
EVTOPTA_RoI_230;[Root.Spouse.GetSheHeCap] is lost to me!;Son âme est perdue !;[Root.Spouse.GetSheHeCap] ist für mich verloren!;;¡He perdido a [Root.Spouse.GetSheHe]!;;;;;;;;x
EVTDESC_RoI_232;The captain of your guard comes to see you, sweating, terror in his eyes. He tells you that [Root.Spouse.GetTitledFirstName] has been murdered on the road, by robbers probably wanting to get their hands on the great diamond! A patrol of soldiers arrived just as the crime was committed, however, killing the robbers and retrieving the treasure.;Le capitaine de la garde vient vous voir en sueur. La terreur se lit dans ses yeux. Il vous explique que [Root.Spouse.GetTitledFirstName] a trouvé la mort sur la route : des bandits ont attaqué, ils en voulaient au diamant. Une patrouille arrivait sur place juste à ce moment cependant : ils ont pu tuer les voleurs et récupérer le trésor.;Der Hauptmann Eurer Wache kommt zu Euch, schwitzend und mit Panik in den Augen. Er berichtet, dass [Root.Spouse.GetTitledFirstName] auf offener Straße ermordet wurde, von Räubern, welche möglicherweise den Diamanten stehlen wollten. Eine Patrouille kam gerade noch rechtzeitig, um die Räuber zu töten und den Schatz zu retten.;;El capitán de tu guardia viene a verte, sudando, con el terror en la cara. ¡Te dice que [Root.Spouse.GetTitledFirstName] ha perdido la vida en la carretera a manos de ladrones que probablemente quisieran su gran diamante! No obstante, una patrulla de soldados llegó tras cometerse el crimen y lograron matar a los ladrones y recuperar el tesoro.;;;;;;;;x
EVTOPTA_RoI_232;Woe!;Malheur !;Oh weh!;;¡Lástima!;;;;;;;;x
EVTDESC_RoI_240;Apart from more serious events, you have found that a lot of little strange, bad things happen around the great diamond. Several servants who have handled it have died. People around whisper and gossip, they say the diamond is cursed and will bring woe on your dynasty. You are beginning to wonder if they may not be right.;Si on excepte les évènements plus graves, vous vous rendez compte qu'un grand nombre de petits incidents semble concerner le diamant. Plusieurs serviteurs qui l'ont eu en main sont morts. Dans les rues, on chuchote et les rumeurs vont bon train : le diamant serait maudit et apporterait le malheur sur votre dynastie. Vous commencez à penser que le peuple n'a peut-être pas tout à fait tort.;Neben einigen ernsthaften Ereignissen geschahen eine Menge kleiner, schlimmer Dinge rund um den großen Diamanten. Mehrere Diener, die mit ihm zu tun hatten, starben. Die Leute flüstern und tratschen, sie sagen, der Diamant sei verflucht und wird Unheil über Eure Dynastie bringen. Ihr fragt Euch langsam, ob sie damit nicht Recht haben.;;Aparte de acontecimientos más serios, te has dado cuenta de que pasan muchas pequeñas cosas extrañas alrededor del gran diamante. Varios sirvientes que lo han tocado han muerto. La gente alrededor cuchichea, dicen que el diamante está maldito y que traerá la desgracia a tu dinastía. Empiezas a preguntarte si no tendrán razón.;;;;;;;;x
EVTOPTA_RoI_240;Much as it pains me, I will sell it.;Cela me fait mal, mais je vais devoir le vendre.;So sehr es mich schmerzt - ich werde ihn verkaufen.;;Por mucho que me duela, lo venderé.;;;;;;;;x
EVTOPTB_RoI_240;Throw it in the river.;Jetons-le dans le fleuve.;Werft ihn in den Fluss.;;Tíralo al río.;;;;;;;;x
EVTOPTC_RoI_240;No, it's my precious!;Non, il est à moi !;Nein - er ist mein Schaaatz!;;¡No, es mi tesoro!;;;;;;;;x
EVTOPTD_RoI_240;I cannot live with it nor without it. I must swallow it and kill myself!;Je ne peux pas vivre avec, ni sans. Je vais l'avaler et me donner la mort ensuite !;Ich kann nicht ohne ihn leben. Ich werde ihn verschlucken und sterben!;;No puedo vivir ni con él ni sin él. ¡Me lo tragaré y me mataré!;;;;;;;;x
EVTDESC_RoI_241;You sold the great diamond, but now you find that you really miss it. Maybe if you sent riders after the merchants, you could still get it back.;Vous avez vendu votre beau diamant, mais à présent il vous manque terriblement. Peut-être qu'en envoyant des cavaliers à la poursuite des marchands, vous pourriez le récupérer.;Ihr habt den großen Diamanten verkauft, doch nun vermisst Ihr ihn. Vielleicht bekommt Ihr ihn wieder, wenn Ihr den Händlern Reiter hinterherschickt.;;Has vendido el gran diamante, pero ahora te das cuenta de que lo añoras. Puede que si envías jinetes tras los mercaderes, lo puedas recuperar.;;;;;;;;x
EVTOPTA_RoI_241;Send riders.;Envoyons des cavaliers.;Entsendet die Reiter;;Enviar jinetes.;;;;;;;;x
EVTOPTB_RoI_241;No, it's over.;Non, il faut tourner la page.;Nein, es ist vorbei;;No, se acabó.;;;;;;;;x
