#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
honest_recipes;Honest Recipes;Quelques recettes;Ehrliche Rezepte;;Recetas sinceras;;;;;;;;;x
honest_recipes_desc;Sometimes a [From.OriginalOwner.GetTitle] has to use whatever resources [From.OriginalOwner.GetSheHe] has available. It cannot always be pickled boar-heads!;Parfois un[From.OriginalOwner.GetNoneE] [From.OriginalOwner.GetTitle] doit utiliser les ressources disponibles. Ce ne peut pas toujours être des têtes de sanglier !;Manchmal muss [From.OriginalOwner.Geteineine] [From.OriginalOwner.GetTitle] die Ressourcen verwenden, die [From.OriginalOwner.GetSheHe] verfügbar hat. Man hat halt nicht immer die Wahl.;;A veces un/a [From.OriginalOwner.GetTitle] tiene que usar los recursos que hay a mano. ¡No siempre pueden ser cabezas de jabalí en escabeche!;;;;;;;;;x
notes_from_a_kitchen;Notes From A Kitchen;Notes depuis une cuisine;Notizen aus der Küche;;Notas de una cocina;;;;;;;;;x
notes_from_a_kitchen_desc;An intriguing tale of a kitchen boy who falls in love with a princess. [From.OriginalOwner.GetTitledFirstName] always claimed it was based on a true story.;Le récit intrigant d'un garçon de cuisine qui tombe amoureux d'une princesse. [From.OriginalOwner.GetTitledFirstName] a toujours affirmé que c'était basé sur une histoire vraie.;Eine faszinierende Geschichte eines Küchenjungen, der sich in eine Prinzessin verliebt hat. [From.OriginalOwner.GetTitledFirstName] behauptet, dass es auf einer wahren Begebenheit basiert.;;Un cuento fascinante de un pinche de cocina que se enamora de una princesa. [From.OriginalOwner.GetTitledFirstName] siempre afirmó que basaba en una historia real.;;;;;;;;;x
gastronomic_tonics;Gastronomic Tonics;Fortifiants gastronomiques;Kulinarische Elixiere;;Tónicos gastronómicos;;;;;;;;;x
gastronomic_tonics_desc;This discreet, pocket-sized little tome contains a variety of recipes, ranging from delicious drinks to some curious anti-dotes for common poisons.;Ce petit livre discret contient diverses recettes, allant de boissons délicieuses à des antidotes contre des poisons courants.;Diese diskrete, taschenbuchartige Lektüre enthält eine Vielzahl von Rezepten, die von köstlichen Getränken bis hin zu einigen Gegengiften für oft benutze Gifte reichen.;;Este volumen discreto de tamaño bolsillo contiene una variedad de recetas, de bebidas deliciosas a curiosos antídotos para los venenos comunes.;;;;;;;;;x
good_cookbook;Feeding a Realm;Nourrir un pays;Das Ernähren eines Reiches;;Alimentando un reino;;;;;;;;;x
good_cookbook_desc;Any administrator would be lucky to get their hands on this tome, filled with house-holding tips for a more economic administration and distribution of essential resources.;Tout administrateur serait chanceux de mettre la main sur ce livre rempli de conseils maison pour une gestion et une distribution économiques des ressources essentielles.;Jeder Verwalter wäre glücklich, eins dieser Bücher zu erlangen, dass mit Tipps für das Haushalten wirtschaftlicher Verwaltungszentren und der Verteilung von großen Mengen Ressourcen gedacht ist.;;Cualquier administrador se sentiría afortunado de conseguir este volumen, lleno de consejos domésticos para una administración más económica y la distribución de recursos esenciales.;;;;;;;;;x
the_omnivore;The Omnivore;L'omnivore;Der Allesfresser;;El omnívoro.;;;;;;;;;x
the_omnivore_desc;There were always rumors surrounding the appetites of [From.OriginalOwner.GetTitledFirstName], as [From.OriginalOwner.GetHerHis] unconventional tome reveals, in grueling detail, and not for the faint of heart.;Il y a toujours eu des rumeurs sur l'appétit de [From.OriginalOwner.GetTitledFirstName], comme son volume non conventionnel le révèle, dans des détails éprouvants, et pas pour des âmes sensibles.;Es gab schon immer Gerüchte über den Appetit von [From.OriginalOwner.GetTitledFirstName]. Dieses Buch zeigt dies in zermürbenden Details und ist nichts für schwache Nerven.;;Siempre corrieron rumores sobre los apetitos de [From.OriginalOwner.GetTitledFirstName], revelados en este volumen poco convencional con riguroso detalle, no apto para timoratos.;;;;;;;;;x
the_dynasty_cookbook;The [From.OriginalOwner.GetOnlyDynastyName] Cookbook, by [From.OriginalOwner.GetFirstName];Le livre de cuisine [From.OriginalOwner.GetOnlyDynastyName], par [From.OriginalOwner.GetFirstName];Das [From.OriginalOwner.GetOnlyDynastyName]-Kochbuch, von [From.OriginalOwner.GetFirstName];;El libro de recetas de [From.OriginalOwner.GetOnlyDynastyName], por [From.OriginalOwner.GetFirstName];;;;;;;;;x
the_dynasty_cookbook_desc;Written by [From.OriginalOwner.GetFirstName] of the [From.OriginalOwner.GetOnlyDynastyName], this is supposedly a collection of dishes and delicacies favored by [From.OriginalOwner.GetHerHis] family.;Écrit par [From.OriginalOwner.GetFirstName] des [From.OriginalOwner.GetOnlyDynastyName], ce livre est un recueil de mets recommandés par sa famille.;Geschrieben von [From.OriginalOwner.GetFirstName] des Hauses [From.OriginalOwner.GetOnlyDynastyName], ist die überwiegend eine Sammlung von Gerichten und Delikatessen, die von [From.OriginalOwner.GetHerHis]er Familie begünstigt werden.;;Escrito por [From.OriginalOwner.GetTitledFirstName] de los [From.OriginalOwner.GetOnlyDynastyName], se supone que es una colección de platos y delicadezas favoritas de su familia.;;;;;;;;;x
modest_measures;Modest Measures;Mesures modestes;Bescheidene Maßnahmen;;Medidas modestas;;;;;;;;;x
modest_measures_desc;'All things in moderation', [From.OriginalOwner.GetTitledFirstName] begins [From.OriginalOwner.GetHerHis] treatise on culinary house-holding. The typical inhabitant of [From.OriginalOwner.GetHerHis] court is rumored to have found the text a bit much.;'Tout est dans la modération', ainsi commence le traité de [From.OriginalOwner.GetTitledFirstName] sur la cuisine familiale. L'habitant typique de sa cour aurait trouvé le texte un peu exagéré.;Mit "Alles in Maßen genießen", beginnt die Abhandlung von [From.OriginalOwner.GetTitledFirstName] über kulinarische Maßnahmen. Der gemeine Bürger [From.OriginalOwner.GetHerHis]es Hofes hat den Text allerdings scheinbar als ein bisschen viel empfunden.;;'Todo con moderación', comienza [From.OriginalOwner.GetTitledFirstName] su tratado sobre cocina doméstica. Se rumorea que el miembro medio de su corte veía el texto algo excesivo.;;;;;;;;;x
modest_measures_desc_rename;'All things in moderation', [Root.GetTitledFirstName] begins [Root.GetHerHis] treatise on culinary house-holding. The typical inhabitant of [Root.Capital.Capital.GetName] is rumored to have found the text a bit [Root.GetPublicOpinionOfWork].;'Tout est dans la modération', ainsi commence le traité de [Root.GetTitledFirstName] sur la cuisine familiale. L'habitant typique de [Root.Capital.Capital.GetName] aurait trouvé le texte un peu [Root.GetPublicOpinionOfWork].;Mit "Alles in Maßen genießen", beginnt die Abhandlung von [Root.GetTitledFirstName] über kulinarische Maßnahmen. Der gemeine Bürger von [Root.Capital.Capital.GetName]hat den Text allerdings scheinbar als ein bisschen viel empfunden.;;'Todo con moderación', comienza [Root.GetTitledFirstName] su tratado sobre cocina doméstica. Se rumorea que el habitante ti`pico de  [Root.Capital.Capital.GetName] veía el texto un poco [Root.GetPublicOpinionOfWork].;;;;;;;;;x
cookbook_3_roman;Apicius;Apicius;Apicius;;Apicius;;;;;;;;;x
cookbook_3_roman_desc;What did the wealthy [From.OriginalOwner.Culture.GetName] nobility in [From.OriginalOwner.Capital.GetName] eat during the time of [From.OriginalOwner.GetTitledFirstName]? This tome contains all the details.;Qu'est-ce que la noblesse [From.OriginalOwner.Culture.GetName] à [From.OriginalOwner.Capital.GetName] mangeait du temps de [From.OriginalOwner.GetTitledFirstName] ? Ce volume contient tous les détails.;Was hat der wohlhabende [From.OriginalOwner.Culture.GetName]e Adel in [From.OriginalOwner.Capital.GetName] während der Amtszeit von [From.OriginalOwner.GetTitledFirstName] gegessen? Diese Abhandlung enthält alle Details.;;¿Qué comía la nobleza adinerada [From.OriginalOwner.Culture.GetName] de [From.OriginalOwner.Capital.GetName] en los tiempos de [From.OriginalOwner.GetTitledFirstName]? Este tomo tiene todos los detalles.;;;;;;;;;x
cookbook_3_roman_desc_rename;What did the wealthy [Root.Culture.GetName] nobility in [Root.Capital.GetName] eat during the time of [Root.GetTitledFirstName]? This tome contains all the details, neatly organized in sections and subcategories, such as 'The Careful Housekeeper', 'Many Ingredients' and 'The Sea'.;Qu'est-ce que la noblesse [Root.Culture.GetName] à [Root.Capital.GetName] mangeait du temps de [Root.GetTitledFirstName] ? Ce volume contient tous les détails.;Was hat der wohlhabende [Root.Culture.GetName]e Adel in [Root.Capital.GetName] während der Amtszeit von [Root.GetTitledFirstName] gegessen? Diese Abhandlung enthält alle Details und ist ordentlich in Unterkategorien wie "Der sorgsame Hausmann", "Viele Zutaten" und "Das Meer" unterteilt.;;"¿Qué comía la nobleza adinerada [Root.Culture.GetName] de [Root.Capital.GetName] en los tiempos de [Root.GetTitledFirstName]? Este tomo tiene todos los detalles, cuidadosamente organizado en secciones y subcategorías como ""El encargado de la casa cuidadoso"", ""Muchos ingredientes"" y ""El mar"".";;;;;;;;;x
cookbook_3_arabic;Kitab al-Tabikh;Kitab al-Tabikh;Kitab al-Tabikh;;Kitab al-Tabikh;;;;;;;;;x
cookbook_3_arabic_desc;Aptly named 'The Book of Dishes' this culinary tome contains over a hundred recipes, and provides a fascinating insight into [From.OriginalOwner.Culture.GetName] gastronomy.;Judicieusement appelé 'Le livre des mets', ce volume culinaire contient plus d'une centaine de recettes, et propose une plongée fascinante dans la gastronomie [From.OriginalOwner.Culture.GetName].;Passend benannt "Das Buch von den Lebensmitteln", enthält dieses Buch mehr als hundert Rezepte und gibt faszinierende Einblicke in die  [From.OriginalOwner.Culture.GetName]e Gastronomie.;;Acertadamente llamado 'El libro de los platos', este volumen culinario contiene un centenar de recetas y proporciona una visión fascinante de la gastronomía [From.OriginalOwner.Culture.GetName].;;;;;;;;;x
cookbook_3_chinese_group;Yinshan Zhengyao;Yinshan Zhengyao;Yinshan Zhengyao;;Yinshan Zhengyao;;;;;;;;;x
cookbook_3_chinese_group_desc;While not only containing an impressive collection of typical [From.OriginalOwner.Culture.GetName] recipes, this book is a source of dietary advice and instructions, intended to inspire mental wellness and improve the health of its readers.;Ne contenant pas seulement une collection impressionnante de recettes typiques [From.OriginalOwner.Culture.GetName]s, ce livre est une source de conseils diététiques, destiné à inspirer un sentiment de bien-être et à améliorer la santé de ses lecteurs.;Dieses Buch enthält nicht nur eine beeindruckende Sammlung von typischen [From.OriginalOwner.Culture.GetName]en Rezepten, sondern ist auch eine Quelle für Ernährungsberatung und Anweisungen, die dazu bestimmt sind, das geistige Wohlbefinden zu inspirieren und die Gesundheit zu verbessern.;;Además de contener una impresionante recopilación de recetas típicas del pueblo [From.OriginalOwner.Culture.GetName], este libro es una fuente de consejos e instrucciones alimenticias, buscando el bienestar mental y mejorar la salud de sus lectores.;;;;;;;;;x
cookbook_3_central_german;Das Buch von guter Speise;Das Buch von guter Speise;Das Buch von guter Speise;;Das Buch von guter Speise;;;;;;;;;x
cookbook_3_central_german_desc;Intended for the experienced chef, and containing over a hundred recipes, 'The Book of Good Food' is a classic in the [From.OriginalOwner.Culture.GetName] household, or for anyone interested in emulating the eating habits of the aristocracy.;Destiné aux chefs expérimentés, et contenant plus d'une centaine de recettes, 'Le livre de la bonne nourriture' est un classique de la Maison royale [From.OriginalOwner.Culture.GetName], ou pour quiconque intéressé dans l'imitation des habitudes alimentaires de l'aristocratie.;Für den erfahrenen Küchenchef gedacht, enthält dieses Buch hunderte Rezepte und ist für alle, die daran interessiert sind, die Essgewohnheiten der Aristokratie nachzumachen, ein Klassiker.;;Dirigido al chef experimentado, y conteniendo un centenar de recetas, 'El libro de la buena comida' es un clásico en la Casa de [From.OriginalOwner.Culture.GetName], o para cualquiera interesado en emular los hábitos alimenticios de la aristocracia.;;;;;;;;;x
cookbook_3_central_german_desc_rename;Intended for the experienced chef, and containing over a hundred recipes, 'The Book of Good Food' is a classic in the [Root.Culture.GetName] household, or for anyone interested in emulating the eating habits of [Root.PrimaryTitle.GetAdjective] aristocracy.;Destiné aux chefs expérimentés, et contenant plus d'une centaine de recettes, 'Le livre de la bonne nourriture' est un classique de la Maison royale [Root.Culture.GetName], ou pour quiconque intéressé dans l'imitation des habitudes alimentaires de l'aristocratie [Root.PrimaryTitle.GetAdjective].;Für den erfahrenen Küchenchef gedacht, enthält dieses Buch hunderte Rezepte und ist für alle, die daran interessiert sind, die Essgewohnheiten der Aristokratie nachzumachen, ein Klassiker.;;Dirigido al chef experimentado, y conteniendo un centenar de recetas, 'El libro de la buena comida' es un clásico en la Casa de [Root.Culture.GetName], o para cualquiera interesado en emular los hábitos alimenticios de la aristocracia [Root.PrimaryTitle.GetAdjective].;;;;;;;;;x
on_culture_architecture;On [From.OriginalOwner.Culture.GetName] Architecture;Sur l'architecture [From.OriginalOwner.Culture.GetName];Die [From.OriginalOwner.Culture.GetName]e Architektur;;Acerca de la arquitectura [From.OriginalOwner.Culture.GetName];;;;;;;;;x
on_culture_architecture_desc;Describing in details the wonder of local building practices, as well as prescriptions for the planning and design of military camps and structures, both large and small.;Décrivant en détail le prodige des techniques de construction locales, ainsi que des propositions pour la planification et la conception de camps et de structures militaires, à la fois grandes et petites.;Beschreibt im Detail lokale Baupraktiken und gibt Anleitungen zur Planung und Gestaltung militärischer Lager und Strukturen, sowohl für große, als auch für kleine.;;Describe al detalle las maravillas de las prácticas locales de construcción local, así como fórmulas para planificar y diseñar campamentos y estructuras militares, tanto grandes como pequeñas.;;;;;;;;;x
how_to_build_a_well;How to Build A Well;Comment construire un puits;Wie man einen Brunnen baut;;Cómo construir un pozo;;;;;;;;;x
how_to_build_a_well_desc;It is not certain whether [From.OriginalOwner.GetTitledName] wrote this [From.OriginalOwner.GetHerselfHimself], but artisan builders and craftsmen alike agree on the high quality of these instructions.;Il n'est pas certain que [From.OriginalOwner.GetTitledName] l'ait écrit [From.OriginalOwner.GetLuiElle]-même, mais les artisans constructeurs s'accordent sur la grande qualité de ces instructions.;Es ist nicht bekannt, ob es [From.OriginalOwner.GetTitledName] selbst geschrieben hat, aber Handwerker und Baumeister gleichermaßen stimmen der hohen Qualität der Anweisungen zu.;;No está claro si [From.OriginalOwner.GetTitledName] lo escribió por sí mismo, pero constructores y artesanos por igual coinciden en la gran calidad de estas instrucciones.;;;;;;;;;x
bad_fishing_book;Fishing with [From.OriginalOwner.GetFirstName];Pêcher avec [From.OriginalOwner.GetFirstName];Fischen mit [From.OriginalOwner.GetFirstName];;Pescando con [From.OriginalOwner.GetFirstName];;;;;;;;;x
bad_fishing_book_desc;Rumor has it [From.OriginalOwner.GetFirstName] was not entirely satisfied with this manuscript. While oddly amusing a read, it is clear that the [From.OriginalOwner.GetTitle] never held a fishing rod in [From.OriginalOwner.GetHerHis] life.;La rumeur veut que [From.OriginalOwner.GetFirstName] n'ait pas été entièrement satisfait[From.OriginalOwner.GetNoneE] par ce manuscrit. Bien que ce soit une lecture curieusement amusante, il est clair que [From.OriginalOwner.GetLeLa] [From.OriginalOwner.GetTitle] n'a jamais eu de canne à pêche entre ses mains.;Gerüchten zufolge war [From.OriginalOwner.GetFirstName] nicht gänzlich über dieses Manuskript glücklich. Es ist zwar amüsant zu lesen, aber ist auch klar, dass [From.OriginalOwner.GetTitle] niemals eine Angelrute in der Hand hielt.;;Se dice que [From.OriginalOwner.GetFirstName] no quedó satisfecho/a del todo con este manuscrito. Aunque una lectura extrañamente entretenida, está claro que el/la [From.OriginalOwner.GetTitle] nunca ha usado una caña en su vida.;;;;;;;;;x
treatise_on_fishing;A Treatise of Fishing with an Angle;Le traité de la pêche à la ligne;Das Fischen mit einer Angel;;Tratado de la pesca con caña;;;;;;;;;x
treatise_on_fishing_desc;Hawking, hunting, and heraldry – some of the most popular recreational activities for any person of noble birth. This treatise covers everything from informative sections on different fishing waters, to angler etiquette.;La fauconnerie, la chasse et l'héraldique - certaines des activités récréatives les plus normales pour toute personne de naissance noble. Ce traité couvre tout, des différentes eaux de pêche, jusqu'à la pêche à la ligne.;Falknerei, Jagd und Wappenkunde sind einige der beliebtesten Freizeitaktivitäten. Diese Abhandlung beschreibt in einigen informativen Abschnitten alles von den verschiedenen Gewässern zum Fischen bis hin zur Angler-Etikette.;;Cetrería, caza, heráldica, algunas de las actividades recreativas más populares para alguien de noble cuna. Este tratado lo cubre todo, de secciones informativas sobre las diferentes aguas de pesca a la etiqueta con la caña.;;;;;;;;;x
gardens_of_planet;Gardens of the Moon;Jardins de la Lune;Mondgärten;;Jardines de la Luna;;;;;;;;;x
gardens_of_planet_rename;Gardens of [Root.GetRandomPlanetName];Jardins de [Root.GetRandomPlanetName];Gärten von [Root.GetRandomPlanetName];;Jardines de [Root.GetRandomPlanetName];;;;;;;;;x
gardens_of_planet_desc;It is no secret that the stars affect every living thing around us. In this book [From.OriginalOwner.GetTitledFirstName] presents [From.OriginalOwner.GetHerHis] theories on the best methods of growing healthier plants and better tasting food, with their aid.;Ce n'est pas un secret que les étoiles affectent tout ce qui vit autour de nous. Dans ce livre, [From.OriginalOwner.GetTitledFirstName] présente ses théories sur les meilleures méthodes pour faire pousser des plantes en bonne santé et des aliments plus savoureux.;Es ist kein Geheimnis, dass die Sterne jedes Lebewesen beeinflussen. In diesem Buch präsentiert [From.OriginalOwner.GetTitledFirstName] [From.OriginalOwner.GetHerHis]e Theorien zu den besten Methoden, um gesündere Pflanzen und leckereres Essen zu erlangen.;;No es ningún secreto que las estrellas influyen en todo ser vivo que nos rodea. En este libro [From.OriginalOwner.GetTitledFirstName] nos presenta sus teorías sobre los mejores métodos para ayudarnos a conseguir plantas más sanas y alimentos más sabrosos.;;;;;;;;;x
what_do_monks_wear;What Do Monks Wear;Ce que les moines portent;Was Mönche tragen;;Lo que visten los monjes;;;;;;;;;x
what_do_monks_wear_desc;On the topic of various habits worn by the servants of [From.OriginalOwner.Religion.GetHighGodName], [From.OriginalOwner.GetTitledFirstName] appears well-informed, as this tome describes in detail similarities, as well as differences, between monastic orders.;Sur le sujet des différents habits portés par les serviteurs [From.OriginalOwner.GetHighGodDuDelaDes], [From.OriginalOwner.GetTitledFirstName] apparaît bien informé[From.OriginalOwner.GetNoneE], puisque ce volume décrit en détail les similarités et différences entre les ordres monastiques.;Das Thema dieses Buches sind die verschiedenen Gewohnheiten der Diener von [From.OriginalOwner.Religion.GetHighGodName]. [From.OriginalOwner.GetTitledFirstName] scheint darüber gut informaiert zu sein, da es im Detail Ähnlichkeiten als auch Unterschiede zwischen verschiedenen Klosterorden beschreibt.;;[From.OriginalOwner.GetTitledFirstName] parece bien informado sobre los diferentes hábitos vestidos por los servidores de [From.OriginalOwner.Religion.GetHighGodName], pues este tomo describe al detalle las similitudes, así como las diferencias de las órdenes monásticas.;;;;;;;;;x
in_honor_of_highgod;In Honor of [From.OriginalOwner.Religion.GetHighGodName];En l'honneur [From.OriginalOwner.GetHighGodDuDelaDes];Zu Ehren von [From.OriginalOwner.Religion.GetHighGodName];;In Honor of [From.OriginalOwner.Religion.GetHighGodName];;;;;;;;;x
in_honor_of_highgod_desc;Written by [From.OriginalOwner.GetTitledName], this unassuming book is a collection of verses occasionally rhyming, while the cadence does not really follow any contemporary standard.;Écrit par [From.OriginalOwner.GetTitledName], ce livre sans prétention est un recueil de vers rimant occasionnellement, tandis que le rythme ne suit aucun standard contemporain.;Geschrieben von [From.OriginalOwner.GetTitledName], ist dieses unscheinbare Buchg eine Sammlung von Versen die sich gelegentlich reimen. Die Kadenz folgt jedoch keinem zeitgenössischem Standard.;;Escrito por [From.OriginalOwner.GetTitledName], este modesto libro es una colección de versos que a veces riman, aunque su cadencia no siga ninguna norma contemporánea.;;;;;;;;;x
faith_eternal;Faith Eternal;La foi éternelle;Glaube hält ewig;;Fe eterna;;;;;;;;;x
faith_eternal_desc;[From.OriginalOwner.GetTitledName] paints a glorious picture of [From.OriginalOwner.GetHerselfHimself], in this supposedly autobiographical tale of religious introspection.;[From.OriginalOwner.GetTitledName] fait un portrait élogieux d[From.OriginalOwner.GetEluiElle]-même dans ce récit dit autobiographique d'une introspection religieuse.;[From.OriginalOwner.GetTitledName] zeigt in dieser Autobiographie der religiösen Introspektion ein glorreiches Bild [From.OriginalOwner.GetHerHim]er selbst.;;[From.OriginalOwner.GetTitledName] traza un retrato glorioso de sí en esta historia supuestamente autobiográfica de reflexión religiosa.;;;;;;;;;x
hymns_to_highgod;Hymns to [From.OriginalOwner.Religion.GetHighGodName];Hymne [From.OriginalOwner.GetHighGodAAux];Ode an [From.OriginalOwner.Religion.GetHighGodName];;Cánticos a [From.OriginalOwner.Religion.GetHighGodName];;;;;;;;;x
hymns_to_highgod_desc;A well-worn book, containing poems and hymns intended for religious ceremony. The imagery is beautiful, the metaphors captivating.;Un livre vu et revu, contenant des poèmes et des hymnes destinés aux cérémonies religieuses. L'imagerie est belle, les métaphores captivantes.;Ein abgenutztes Buch mit Gedichten und Hymnen für religiöse Zeremonien. Die Bilder sind schön und die Metaphern fesselnd.;;Un libro desgastado que contiene poemas y cánticos para ceremonias religiosas. Las ilustraciones son hermosas y las metáforas, fascinantes.;;;;;;;;;x
choice_passages;Choice Passages, by [From.OriginalOwner.GetTitledFirstName];Passages choisis, par [From.OriginalOwner.GetTitledFirstName];Ausgewählte Passagen, von [From.OriginalOwner.GetTitledFirstName];;Pasajes escogidos, por [From.OriginalOwner.GetTitledFirstName];;;;;;;;;x
choice_passages_desc;Essentially a transcript of the sections [From.OriginalOwner.GetTitledName] found the most important in [From.OriginalOwner.Religion.GetScriptureName].;Essentiellement la transcription de passages que [From.OriginalOwner.GetTitledName] a trouvé les plus importants dans [From.OriginalOwner.Religion.GetScriptureName].;Im Wesentlichen eine Abschrift ausgewählter Passagen, die [From.OriginalOwner.GetTitledName] in [From.OriginalOwner.Religion.GetScriptureName] für wichtig empfand;;Básicamente, una transcripción de las secciones del [From.OriginalOwner.Religion.GetScriptureName] que a [From.OriginalOwner.GetTitledName] le parecieron las más importantes.;;;;;;;;;x
a_history_of_churches;A History of Temples;Une histoire des temples;Eine Geschichte über Tempel;;Una historia de templos;;;;;;;;;x
a_history_of_churches_desc;This tome is a historical chronicle of [From.OriginalOwner.Culture.GetName] religious buildings, written through a lens of aesthetic appreciation and artist's humility. It also contains some practical advice on construction methods and processes.;Ce volume est une chronique des bâtiments religieux [From.OriginalOwner.GetCultureMascPl], écrit sous un angle d'appréciation esthétique et d'humilité de l'artiste. Il contient aussi des conseils pratiques sur les méthodes de construction.;Dieses Buch ist eine historische Chronik religiöser [From.OriginalOwner.Culture.GetName]er Gebäude, das durch eine Linse ästhetischer Wertschätzung und Demut des Künstlers geschrieben ist. Es enthält außerdem praktische Ratschläge zu Bauweisen und Methoden.;;Este tomo es una crónica histórica de los edificios religiosos de [From.OriginalOwner.Culture.GetName], escrita con ojos de aprecio estético y humildad artística. También contiene consejos prácticos sobre métodos y procesos de construcción.;;;;;;;;;x
how_to_worship;How To Worship [From.OriginalOwner.Religion.GetHighGodName];Comment rendre un culte [From.OriginalOwner.GetHighGodAAux];Wie man [From.OriginalOwner.Religion.GetHighGodName] anbetet;;Cómo adorar a [From.OriginalOwner.Religion.GetHighGodName];;;;;;;;;x
how_to_worship_desc;An informative and practical manuscript full of instructions for some of the most common religious ceremonies within the [From.OriginalOwner.Religion.GetName] faith.;Un manuscrit pratique rempli d'instructions sur les cérémonies religieuses les plus courantes de la foi [From.OriginalOwner.Religion.GetName].;Ein informatives und praktisches Manuskript voller Anweisungen für einige der häufigsten religiösen Zeremonien innerhalb des [From.OriginalOwner.Religion.GetName]en-Glaubens.;;Un manuscrito informativo y práctico lleno de instrucciones sobre algunas de las ceremonias religiosas más comunes de la fe [From.OriginalOwner.Religion.GetName].;;;;;;;;;x
the_spirits;The Spirits Among Us;Les esprits parmi nous;Die Geister unter uns;;Los espíritus entre nosotros;;;;;;;;;x
the_spirits_desc;A compendium of myths. In honor of the ancestors, as well as the sky gods, [From.OriginalOwner.GetTitledFirstName] dedicated a lot of [From.OriginalOwner.GetHerHis] soul to this collection of myths.;Un abrégé de mythes. En l'honneur des ancêtres, et des dieux du ciel, [From.OriginalOwner.GetTitledFirstName] s'est consacré[From.OriginalOwner.GetNoneE] à ce recueil de mythes.;Ein Kompendium von Mythen. Zu Ehren der Vorfahren und Götter widmet [From.OriginalOwner.GetTitledFirstName] [From.OriginalOwner.GetHerHis]e Seele dieser Sammlung.;;Un compendio de mitos. [From.OriginalOwner.GetTitledFirstName] puso una gran parte de su alma a esta recolección de mitos en honor a los antepasados, así como a los dioses celestiales.;;;;;;;;;x
learning_languages_1;The [From.OriginalOwner.Culture.GetName] Language, Volume I;La langue [From.OriginalOwner.Culture.GetName], Volume I;Die [From.OriginalOwner.Culture.GetName]e Sprache, Band I;;El lenguaje [From.OriginalOwner.Culture.GetName], volumen I;;;;;;;;;x
learning_languages_1_desc;A beginner's manuscript in learning the language spoken by the [From.OriginalOwner.Culture.GetName], containing exercises for all ages.;Un manuscrit pour débutants pour l'apprentissage de la langue parlée par les [From.OriginalOwner.GetCultureMascPl], contenant des exercices pour tous les âges.;Ein Manuskript für Anfänger der [From.OriginalOwner.Culture.GetName]en Sprache. Enthält Übungen für alle Altersgruppen.;;Un manuscrito de principiante para aprender el lenguaje del pueblo [From.OriginalOwner.Culture.GetName], con ejercicios para todas las edades.;;;;;;;;;x
learning_languages_2;The [From.OriginalOwner.Culture.GetName] Language, Volume II;La langue [From.OriginalOwner.Culture.GetName], Volume II;Die [From.OriginalOwner.Culture.GetName]e Sprache, Band II;;El lenguaje [From.OriginalOwner.Culture.GetName], volumen II;;;;;;;;;x
learning_languages_2_desc;Based on the previous book in the series, this manuscript is a solid continuation for anyone invested in learning the [From.OriginalOwner.Culture.GetName] language.;Basé sur le précédent livre de la série, celui-ci est une solide suite pour quiconque voudrait apprendre la langue [From.OriginalOwner.Culture.GetName].;Basierend auf dem vorherigen Buch der Serie, ist dieses Manuskript eine solide Fortsetzung für alle, die die [From.OriginalOwner.Culture.GetName]e Sprache lernen möchten.;;Basado en el libro anterior de la serie, este manuscrito es una continuación sólida para cualquiera interesado en aprender el lenguaje [From.OriginalOwner.Culture.GetName].;;;;;;;;;x
learning_languages_3;The [From.OriginalOwner.Culture.GetName] Language, Volume III;La langue [From.OriginalOwner.Culture.GetName], Volume III;Die [From.OriginalOwner.Culture.GetName]e Sprache, Band III;;El lenguaje [From.OriginalOwner.Culture.GetName], volumen III;;;;;;;;;x
learning_languages_3_desc;Focused less on exercises than the previous manuscripts in the series, the [From.OriginalOwner.Culture.GetName] language get a close examination, in this treatise by [From.OriginalOwner.GetTitledFirstName]. The section on dialects is particularly well composed.;Moins focalisé sur les exercices que les précédents livres de la série, la langue [From.OriginalOwner.Culture.GetName] est étudiée de près dans ce traité de [From.OriginalOwner.GetTitledFirstName]. La partie sur les dialectes est particulièrement bien écrite.;Weniger auf Übungen fokussiert als vorherige Teile der Serie, erhält die [From.OriginalOwner.Culture.GetName] e Sprache in dieser Ausgabe eine genauere Untersuchung durch [From.OriginalOwner.GetTitledFirstName]. Der Abschnitt über Dialekte ist besonders gut zusammengestellt.;;Centrado menos en ejercicios que los manuscritos anteriores de esta serie, el lenguaje [From.OriginalOwner.Culture.GetName] es examinado a fondo en este tratado de [From.OriginalOwner.GetTitledFirstName]. La sección sobre dialectos está particularmente bien escrita.;;;;;;;;;x
learning_languages_4;The [From.OriginalOwner.Culture.GetName] Language, Volume IV;La langue [From.OriginalOwner.Culture.GetName], Volume IV;Die [From.OriginalOwner.Culture.GetName]e Sprache, Band IV;;El lenguaje [From.OriginalOwner.Culture.GetName], volumen IV;;;;;;;;;x
