#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
EVTOPTA_MNM_7855;What is the meaning of this? By [GetDWDevil], I will fight you!;Qu'est-ce que cela veut dire ? Par [GetDWDevil], je vais vous combattre !;Was hat das zu bedeuten? Bei [GetDWDevil], ich werde gegen Euch kämpfen!;;¿Qué significa esto? ¡Por [GetDWDevil], lucharé contigo!;;;;;;;;;x
EVTOPTA_MNM_7855_again;You're stubborn! By [GetDWDevil], I will still fight you!;Vous êtes têtus ! Par [GetDWDevil], je vais encore vous combattre !;Ihr seid stur! Bei [GetDWDevil], ich werde trotzdem gegen Euch kämpfen!;;¡Qué terquedad! ¡Por [GetDWDevil], lucharé contigo otra vez!;;;;;;;;;x
EVTOPTB_MNM_7855;You have no idea who are you are dealing with...!;Vous n'avez aucune idée de qui vous avez affaire !;Ihr habt keine Ahnung, mit wem Ihr es zu tun habt!;;¡No tienes ni idea de con quién estás tratando!;;;;;;;;;x
EVTOPTB_MNM_7855_TT;You pull out your enchanted dagger and jam it into your leg, where you have engraved the emergency symbol.\n;Vous sortez votre poignard ensorcelé et l'enfoncez dans votre jambe, où vous avez gravé le symbole d'urgence.\n;Ihr zieht Euren verzauberten Dolch und rammt ihn dort in Euer Bein, wo Ihr das Notfallsymbol eingraviert habt.\n;;Sacas tu daga encantada y la presionas contra tu pierna, donde tienes grabado el símbolo de emergencia.\n;;;;;;;;;x
EVTOPTB_MNM_7855_TT_singular;Your attacker staggers away in shock.\n;Votre attaquant chancelle, sous le choc.\n;Euer Angreifer taumelt entsetzt zurück.\n;;Tu atacante retrocede con sorpresa.\n;;;;;;;;;x
EVTOPTB_MNM_7855_TT_plural;Your attackers stagger away in shock.\n;Vos attaquants chancellent, sous le choc.\n;Eure Angreifer taumeln entsetzt zurück.\n;;Tus atacantes retroceden con sorpresa.\n;;;;;;;;;x
EVTOPTC_MNM_7855_A;Then again, perhaps you could? For a price?;Cette fois encore, vous pourriez peut-être... en échange d'une somme d'or ?;Andererseits, könntet Ihr es vielleicht doch tun? Für einen Preis?;;Sin embargo, ¿no quieres pensarlo? ¿Por un precio?;;;;;;;;;x
EVTOPTC_MNM_7855_B;Let's not be hasty...! We can sort this out, with gold?;Ne soyons pas hâtifs ! On peut régler ça avec de l'or?;Lasst uns nichts übereilen! Können wir das mit Gold regeln?;;No nos precipitemos. Podríamos resolverlo... ¿quizá con oro?;;;;;;;;;x
EVTOPTC_MNM_7855_C;Woah, woah... Let's be civilized... You seem like businessmen!;Eh bien, eh bien... Restons civilisés... Vous semblez être des hommes d'affaires !;He, langsam ... Lasst uns vernünftig sein ... Ihr wirkt wie gescheite Kaufleute!;;A ver, a ver... Seamos civilizados. Parecéis hombres de negocios.;;;;;;;;;x
EVTOPTC_MNM_7855_D;I don't suppose you'd be willing to walk out of here, a rich man?;Je suppose que vous voudriez sortir d'ici en homme riche ?;Wie würde es Euch gefallen, als reicher Mann wegzugehen?;;¿Te interesaría marcharte de aquí con grandes riquezas?;;;;;;;;;x
EVTOPTC_MNM_7855_E;But I'm a rich [Root.GetDWDemon]! Let's make a deal.;Mais je suis un riche [Root.GetDWDemon] ! Faisons un marché.;Ich bin aber ein reicher [Root.GetDWDemon]! Treiben wir doch einen Handel.;;¡Pero soy un [Root.GetDWDemon] con grandes riquezas! Hagamos un trato.;;;;;;;;;x
EVTOPTC_MNM_7855_A_again;No, w-wait, let's talk about it! Is it money you want?;Non, attendez, parlons-en ! Est-ce de l'argent que vous voulez ?;Nein, wartet, lasst uns darüber reden! Trachtet Ihr nach Geld?;;¡No, e-espera, vamos a hablar! ¿Es cuestión de dinero?;;;;;;;;;x
EVTOPTC_MNM_7855_B_again;Oh, come on... N-not again. Let's talk about this!;Oh, allez... Pas encore. Parlons-en!;Ach, kommt schon ... Nicht schon wieder. Lasst uns über diese Angelegenheit reden!;;Venga ya... O-otra vez no. ¡Hablemos!;;;;;;;;;x
EVTOPTC_MNM_7855_C_again;You two again...! How about we sort this out with money?;Encore vous deux ! Et si on réglait ça avec de l'argent ?;Ihr zwei schon wieder! Wie wäre es, wenn wir diese Angelegenheit mit Geld regeln würden?;;¡Vosotros dos otra vez! ¿Y si lo resolvemos con dinero?;;;;;;;;;x
EVTOPTC_MNM_7855_D_again;H-how about I line your pockets with more gold than you can carry?;Que diriez-vous d'avoir plus d'or que vous ne pourriez en transporter ?;Wie wäre es, wenn ich Eure Taschen mit mehr Gold füllen würde, als Ihr tragen könnt?;;¿Y si os lleno los bolsillos con más oro del que podáis llevar?;;;;;;;;;x
EVTOPTC_MNM_7855_E_again;I'm still a rich [Root.GetDWDemon]! Let's talk about gold!;Je suis encore un riche [Root.GetDWDemon] ! Parlons d'or!;Ich bin immerhin ein reicher [Root.GetDWDemon]! Lasst uns über Gold reden!;;¡Sigo siendo un [Root.GetDWDemon] con grandes riquezas! ¡Hablemos de oro!;;;;;;;;;x
EVTOPTD_MNM_7855;W-wait! I can give you names! Track down [other_member_to_blame.GetSocietyRank] [other_member_to_blame.GetFirstName] instead!;Attendez ! Je peux vous donner des noms ! Traquez [other_member_to_blame.GetSocietyRank] [other_member_to_blame.GetFirstName] à ma place!;Wartet! Ich kann Euch Namen nennen! Verfolgt statt mir [other_member_to_blame.GetSocietyRank] [other_member_to_blame.GetFirstName]!;;¡U-un momento! ¡Puedo dar nombres! ¡Buscad al/a la [other_member_to_blame.GetSocietyRank] [other_member_to_blame.GetFirstName] en vez de a mí!;;;;;;;;;x
EVTOPTA_MNM_7855_TT;You pray to [GetDWDevil] that your personal combat skill will save you.\n;Vous priez [GetDWDevil] pour que votre compétence personnelle de combat vous sauve.\n;Ihr betet zu [GetDWDevil], dass Eure persönliche Kampffertigkeit Euch zu retten vermöge.\n;;Rezas a [GetDWDevil] para que tu habilidad en el combate cuerpo a cuerpo te salve.\n;;;;;;;;;x
EVTOPTD_MNM_7855_TT;In a moment of desperation, you betray your coven.\nThis will increase suspicion of §Y[other_member_to_blame.GetTitledFirstName]§!.\n;Dans un moment de désespoir, vous trahissez votre sabbat.\nCela augmentera les soupçons de §Y[other_member_to_blame.GetTitledFirstName]§!.\n;In einem Augenblick tiefster Verzweiflung verratet Ihr Euren Zirkel.\nDies wird den Argwohn von §Y[other_member_to_blame.GetTitledFirstName]§! mehren.\n;;En un momento de desesperación, traicionas a tu aquelarre.\nEsto aumentará la suspicacia de §Y[other_member_to_blame.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTOPTC_MNM_7855_TT;You reach for your money, attempting to bribe your way out.\n;Vous prenez votre argent en essayant de négocier votre fuite.\n;Ihr greift nach Eurem Geld und versucht, durch Bestechung Euren Kopf aus der Schlinge zu ziehen.\n;;Buscas a tientas en tu bolsa, esperando poder salir de esta a base de sobornos.\n;;;;;;;;;x
you_are_seriously_injured_TT;you getting badly injured\n;vous blesser grièvement\n;Ihr werdet schwer verwundet\n;;de que recibas una herida grave.\n;;;;;;;;;x
you_are_killed_in_personal_combat_TT;you getting killed in personal combat\n;vous tuer dans un combat\n;Ihr werdet im Zweikampf getötet\n;;de que acabes pereciendo en combate.\n;;;;;;;;;x
they_impale_you;the woman rolling her eyes at you, before killing you\n;la femme pointe ses yeux vers vous, avant de vous tuer\n;die Frau verdreht über Euch die Augen, bevor sie Euch tötet\n;;de que te mire con exasperación y te mate.\n;;;;;;;;;x
they_drag_you_off_to_burn;them laughing at your offer, before dragging you off to be burnt at the stake\n;ils rient de votre offre, avant de vous entraîner pour être brûlé[Root.GetNoneE] sur le bûcher\n;sie lachen über Euer Angebot, bevor sie Euch ergreifen, um Euch auf dem Scheiterhaufen zu verbrennen\n;;de que se rían de tu oferta y te lleven a rastras para quemarte en la hoguera.\n;;;;;;;;;x
they_saw_you_in_half;the demon hunter ignoring your offer, before killing you slowly\n;le chasseur de démons ignore votre offre, avant de vous tuer lentement\n;die Dämonenjäger schlagen Euer Angebot aus und töten Euch danach ganz langsam\n;;de que el cazador de demonios ignore tu oferta y te mate lentamente.\n;;;;;;;;;x
they_escape_TT;them being defeated, leaving you alone for now\n;les vaincre, vous laissant seul[Root.GetNoneE] pour le moment\n;sie ziehen sich geschlagen zurück, um Euch vorerst in Ruhe zu lassen\n;;de derrotarlos y que te dejen en paz por ahora.\n;;;;;;;;;x
they_accept_your_offer_TT;them accepting your offer, leaving you alone for now\n;ils acceptent votre offre, vous laissant seul[Root.GetNoneE] pour le moment\n;sie nehmen Euer Angebot an und lassen Euch vorerst in Ruhe\n;;de que acepten tu oferta y te dejen en paz por ahora.\n;;;;;;;;;x
EVTDESC_MNM_1225_A;One of my hunting parties caught a great white boar today. [Root.Religion.GetHighGodName] must have sent us this creature, as it took ten men to bring the beast down, and the effect it has had on my soldiers is clearly the boon I have been waiting for. 'Bards are already composing songs, my [Root.GetLordLady]', a captain tells me.;J'ai ramené un grand sanglier blanc de ma partie de chasse. Cette créature doit nous avoir été envoyée par [Root.Religion.GetHighGodName], car il a fallu dix hommes pour abattre la bête, et l'effet que cela a eu sur mes soldats est clairement le bienfait que j'attendais. « Les bardes composent déjà des chansons, M[Root.GetOnA][Root.GetLordLady] », me dit un capitaine.;Eine meiner Jagdgruppen hat heute ein großes weißes Wildschwein gefangen. [Root.Religion.GetHighGodName] muss uns dieses Geschöpf geschickt haben, denn es waren zehn Männer vonnöten, um es zu fangen, und die Wirkung, die es auf meine Soldaten ausgeübt hat, ist ohne jeden Zweifel der Segen, auf den ich gewartet habe. "Barden singen bereits Lieder darüber, m[Root.Geteineine] [Root.GetLordLady]", berichtet mir mein Hauptmann.;;Una de mis partidas de caza ha capturado a un gran jabalí blanco hoy. [Root.Religion.GetHighGodName] debe de habernos enviado a esa criatura, ya que han hecho falta diez hombres para derribarla y el efecto que ha tenido en mis soldados es claramente la bendición que estaba esperando. «Los bardos ya componen canciones, mi [Root.GetLordLady]», me dice un capitán.;;;;;;;;;x
EVTDESC_MNM_1225_B;One of my hunting parties caught a great white boar today. I am told it took ten men to bring the beast down, and rumors of the effect it has had on my soldiers is already spreading through court. 'Bards are already composing songs, my [Root.GetLordLady]', a captain tells me. This certainly goes against my expectations...;Une de mes parties de chasse a ramené un grand sanglier blanc aujourd'hui. On me dit qu'il a fallu dix hommes pour ramener la bête, et les rumeurs sur l'effet que cela a eu sur mes soldats se répandent déjà à la cour. « Les bardes composent déjà des chansons, M[Root.GetOnA][Root.GetLordLady] », me dit un capitaine. Cela va certainement à l'encontre de mes attentes...;Eine meiner Jagdgruppen hat heute ein großes weißes Wildschwein gefangen. Mir wurde gesagt, es seien zehn Männer vonnöten gewesen, um das Tier zu fangen, und am Hof gehen schon Gerüchte um, welche Wirkung es auf meine Soldaten ausgeübt hat. "Barden singen bereits Lieder darüber, m[Root.Geteineine] [Root.GetLordLady]", berichtet mir mein Hauptmann. Das hatte ich wahrlich nicht erwartet ...;;Una de mis partidas de caza ha capturado a un gran jabalí blanco hoy. Me cuentan que han hecho falta diez hombres para derribarla, y los rumores del efecto que ha tenido en mis soldados ya circulan por la corte. «Los bardos ya componen canciones, mi [Root.GetLordLady]», me dice un capitán. Sin duda esto va en contra de mis expectativas...;;;;;;;;;x
EVTDESC_MNM_1225_D;I am not sure whether it is a new-found interest in [envisioned_friend.GetEducationSubject], or if there is something about [envisioned_friend.GetHerHis] [envisioned_friend.GetFriendEnjoyableQuirk], but I am really connecting with [envisioned_friend.GetTitledFirstName]. We have been spending more and more time together, and I think [envisioned_friend.GetSheHe] makes me a better [Root.GetTitle].;Je ne sais pas si c'est un nouvel intérêt pour [envisioned_friend.GetEducationSubject], ou s'il y a quelque chose à propos de [envisioned_friend.GetFriendEnjoyableQuirk], mais je m'entends vraiment bien avec [envisioned_friend.GetTitledFirstName]. Nous passons de plus en plus de temps ensemble, et je pense qu'[envisioned_friend.GetIlElle] fait de moi un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetTitle].;Ich bin mir nicht sicher, ob es sich um ein neu entfachtes Interesse an dem Thema [envisioned_friend.GetEducationSubject] handelt oder ob es etwas mit [envisioned_friend.GetHerHis] [envisioned_friend.GetFriendEnjoyableQuirk] zu tun hat, doch ich verstehe mich mit [envisioned_friend.GetTitledFirstName] hervorragend. Wir verbringen immer mehr Zeit miteinander, und ich glaube, [envisioned_friend.GetSheHe] macht mich zu [Root.Geteinemeiner] besseren [Root.GetTitle].;;No sé con seguridad si se trata de un nuevo interés en [envisioned_friend.GetEducationSubject] o si es por su [envisioned_friend.GetFriendEnjoyableQuirk], pero estoy conectando de verdad con [envisioned_friend.GetTitledFirstName]. Cada vez pasamos más tiempo juntos, y creo que me hace ser mejor [Root.GetTitle].;;;;;;;;;x
EVTDESC_MNM_1225_F;I am told of an owl having taken up residence under the roofing of our barracks. One of my advisors suggest I make it a pet. But should not my scrying have revealed the symbol of wisdom to me, if this creature is what it was about? 'Do not dwell on this, [Root.GetMasterMistress]', my steward says, handing me the caged bird.;On me dit qu'un hibou a pris résidence sous la toiture de notre caserne. Un de mes conseillers suggère que j'en fasse un animal de compagnie. Mes divinations n'auraient-elles pas dû m'avoir révélé le symbole de sagesse, si c'était bien de cette créature dont il s'agissait ? « Ne vous attardez pas là-dessus », dit mon intendant en remettant l'oiseau en cage.;Mir wird berichtet, dass sich im Dachstuhl unserer Kaserne eine Eule eingenistet hat. Einer meiner Ratgeber schlägt mir vor, sie als Haustier zu halten. Doch hätte mir nicht meine Wahrsagerei dieses Symbol der Weisheit offenbaren müssen, falls es sich bei der Eule darum handeln sollte? "Lasst Euch dadurch nicht vergrämen, [Root.GetMasterMistress]", sagt mein Verwalter, als er mir den Käfig überreicht, in dem der Vogel eingesperrt ist.;;Me han contado que una lechuza se ha instalado bajo el techo de uno de nuestros barracones. Uno de mis consejeros me sugiere que haga de ella mi mascota. Pero ¿no debería mi adivinación haberme mostrado el símbolo de la sabiduría, si de eso trata esta criatura? «No te obsesiones con eso, [Root.GetMasterMistress]», me dice mi mayordomo al entregarme el pájaro enjaulado.;;;;;;;;;x
EVTOPTB_MNM_1225_power;How did I not foresee this event?;Comment n'ai-je pas pu prévoir cet événement ?;Warum habe ich diesen Vorfall nicht vorhergesehen?;;¿Cómo es que no predije este acontecimiento?;;;;;;;;;x
proud_hunters_spirit;Proud Hunting Parties;Belles parties de chasse;Stolze Jagdtrupps;;Partidas de caza orgullosas;;;;;;;;;x
proud_hunters_spirit_desc;The hunters in the area, and the success they have brought, are currently working as an inspiration for nobles and commoners alike.;Les chasseurs dans la région, et les succès qu'ils ont eus, sont une source d'inspiration pour les nobles et les roturiers.;Die Jäger in der Gegend und ihre Erfolge inspirieren derzeit Edelleute und das gemeine Volk gleichermaßen.;;Los cazadores de la zona y el éxito que han traído consigo están sirviendo de inspiración tanto a nobles como a plebeyos.;;;;;;;;;x
String_way_with_words;subtle way with words;son aisance avec les mots;er subtilen Wortgewandtheit;;sutil facilidad de palabra;;;;;;;;;x
String_love_of_poetry;love of poetry;son amour de la poésie;er Liebe zur Dichtkunst;;amor por la poesía;;;;;;;;;x
String_fascination_with_plants;fascination with plants;sa fascination pour les plantes;er Begeisterung für Pflanzen;;fascinación por las plantas;;;;;;;;;x
String_morbid_sense_of_humor;morbid sense of humor;son sens de l'humour morbide;em morbiden Sinn für Humor;;mórbido sentido del humor;;;;;;;;;x
String_gentle_spirit;gentle spirit;son doux esprit;em sanftmütigen Geist;;amable espíritu;;;;;;;;;x
String_what_makes_a_good_person;way of making me really consider what makes a good person;sa façon de me faire vraiment considérer ce qui fait être une bonne personne;er Art, mich ernsthaft darüber nachdenken zu lassen, was einen guten Menschen ausmacht,;;manera de hacerme sopesar lo que convierte a alguien en buena persona;;;;;;;;;x
String_mischieveous_sense_of_humor;mischievous sense of humor;son sens de l'humour malicieux;em spitzbübischen Sinn für Humor;;travieso sentido del humor;;;;;;;;;x
String_challenging_me;way of challenging me to think outside of the box;sa façon de sortir des sentiers battus;er Art, mich dazu zu bringen, in ungewöhnlichen Bahnen zu denken,;;manera de retarme para que considere perspectivas diferentes;;;;;;;;;x
String_infectious_smile;infectious smile;son sourire contagieux;em ansteckenden Lächeln;;sonrisa contagiosa;;;;;;;;;x
String_taste_in_music;taste in music;ses goûts musicaux;em musikalischen Geschmack;;gusto musical;;;;;;;;;x
String_appreciation_for_small_things;appreciation for the small things in life;son appréciation pour les petites choses de la vie;er Wertschätzung für die kleinen Dinge im Leben;;aprecio por los pequeños detalles de la vida;;;;;;;;;x
String_optimistic_outlook_on_life;optimistic outlook on life;son regard optimiste sur la vie;er optimistischen Lebensanschauung;;visión optimista de la vida;;;;;;;;;x
String_innocence;innocence;son innocence;er Unschuld;;inocencia;;;;;;;;;x
String_jaded_view_of_romance;jaded view of romance;son regard cynique sur la romance;en abgespannten Ansichten über Liebe;;visión insensible del romanticismo;;;;;;;;;x
String_cracking_knuckles;way of cracking [This.GetHerHis] knuckles;sa manière de craquer ses doigts;er Art, [This.GetHerHis]e Knöchel knacken zu lassen,;;manera de hacerse crujir los nudillos;;;;;;;;;x
String_fighting_spirit;fighting spirit;son esprit combatif;em Kampfgeist;;espíritu luchador;;;;;;;;;x
String_sharp_wit;sharp wit;son esprit acéré;em scharfen Verstand;;aguzado ingenio;;;;;;;;;x
EVTOPTA_MNM_1842;Go away! I do not have a moment to spare.;Allez-vous-en ! Je n'ai pas un moment à perdre.;Geht weg! Ich habe keine Zeit zu erübrigen.;;¡Largo! No tengo tiempo que perder.;;;;;;;;;x
EVTTITLE_MNM_4217;A Cleansing Through Fire;Un nettoyage par le feu;Eine Läuterung durch Feuer;;A la purificación mediante el fuego;;;;;;;;;x
EVTDESC_MNM_4217;During a discussion with some fellow lay members of [This.Society.GetName], I mention the dusty old tomes I store in the library of [Root.Capital.Capital.GetName]. 'Most of the content is hardly intelligible!', I scoff. The eyes of my peers widen. 'One should not take writings of [Root.Religion.GetRandomEvilGodName] so lightly, my [Root.GetLordLady]'.;Au cours d'une discussion avec quelques membres lais [This.GetSocietyNameDuDelaDes], je mentionne les vieux volumes poussiéreux que je stocke dans ma bibliothèque à [Root.Capital.Capital.GetName]. « La plupart du contenu est à peine intelligible ! », moqué-je. Les yeux de mes pairs s'élargissent. « On ne devrait pas prendre les Écrits [Root.GetEvilGodDuDelaDes] à la légère, M[Root.GetOnA][Root.GetLordLady] ».;Bei einer Diskussion mit anderen Laienmitgliedern des "[This.Society.GetName]"-Zirkels erwähne ich die staubigen alten Bücher, die ich in der Bibliothek von [Root.Capital.Capital.GetName] aufbewahre. "Der größte Teil des Inhalts ist kaum zu verstehen!", sage ich spöttisch. Die Augen meiner Kollegen werden riesengroß. "Man sollte Schriften von [Root.Religion.GetRandomEvilGodName] nicht so auf die leichte Schulter nehmen, m[Root.Geteineine] [Root.GetLordLady].";;Durante una conversación con mis compañeros legos de [This.Society.GetName], menciono los viejos tomos polvorientos que conservo en la biblioteca de [Root.Capital.Capital.GetName]. «La mayoría de su contenido es apenas inteligible», me mofo. Mis compañeros se quedan boquiabiertos. «No hay que tomarse los escritos de [Root.Religion.GetRandomEvilGodName] tan a la ligera, mi [Root.GetLordLady]».;;;;;;;;;x
EVTOPTA_MNM_4217;Hrm... I shall see to it that the most dangerous ones are destroyed.;Hm... je veillerai à ce que les plus dangereux soient détruits.;Hm ... Ich werde dafür Sorge tragen, dass die gefährlichsten zerstört werden.;;Mmm... Me aseguraré de que los más peligrosos sean destruidos.;;;;;;;;;x
EVTOPTA_MNM_4217_zealous;You misunderstand! I am getting rid of the book, tonight.;Vous avez mal compris ! Je me débarrasse du livre, ce soir.;Ihr versteht das falsch! Ich schaffe mir das Buch noch heute Nacht vom Hals.;;¡No lo has entendido! Esta misma noche me desharé del libro.;;;;;;;;;x
EVTOPTB_MNM_4217;I have actually been arranging for several tomes to be burned!;J'ai réellement préparé plusieurs volumes pour être brûlés !;Ich habe in der Tat veranlasst, dass mehrere Bücher verbrannt werden!;;Lo cierto es que ya he ordenado que se quemen varios tomos.;;;;;;;;;x
EVTOPTB_MNM_4217_zealous;Actually, I shall cleanse my whole [Root.GetCapitalHolding] of these accursed objects.;En fait, je vais vider [Root.GetCapitalHolding] de ces objets maudits.;Ich werde in der Tat meine ganze [Root.GetCapitalHolding] von diesen verfluchten Gegenständen befreien.;;De hecho, voy a limpiar mi [Root.GetCapitalHolding] al completo de esos condenados trastos.;;;;;;;;;x
EVTOPTC_MNM_4217;This all sounds a bit excessive.;Tout cela semble un peu excessif.;Das klingt alles reichlich übertrieben.;;Todo eso suena algo excesivo.;;;;;;;;;x
EVTOPTC_MNM_4217_scholar;On the other hand, all knowledge can be valuable.;Également, tout savoir peut être précieux.;Andererseits kann alles Wissen von hohem Wert sein.;;Por otro lado, todo conocimiento es valioso.;;;;;;;;;x
EVTTITLE_MNM_4218;An Dusty Old Tome;Un vieux volume poussiéreux;Ein verstaubtes altes Buch;;Un viejo tomo polvoriento;;;;;;;;;x
EVTDESC_MNM_4218;As I retire for the night, I glance at my nightstand... It looks almost as if there is a... There's a thick leather-bound tome, placed right by my bed. What is the meaning of this?;Alors que je me retire pour la nuit, je jette un coup d'œil à ma table de chevet... On dirait qu'il y a... un épais volume, placé juste à côté de mon lit. Qu'est-ce que cela signifie ?;Als ich mich zur Nachtruhe zurückziehe, fällt mein Blick auf meinen Nachttisch ... Mir kommt es fast so vor, als liege dort ein ... Direkt neben meinem Bett liegt ein in Leder gebundenes dickes Buch. Was hat das zu bedeuten?;;Cuando me retiro al final del día, echo un vistazo a mi mesa de noche. Casi parece que hay... Hay un grueso tomo encuadernado en cuero justo al lado de mi cama. ¿Qué significa esto?;;;;;;;;;x
EVTOPTA_MNM_4218_TT;You throw the book out, ordering it burned.\n;Vous lâchez le livre et ordonnez de le brûler.\n;Ihr werft das Buch hinaus und befehlt, es zu verbrennen.\n;;Haces que se lleven el libro y ordenas que lo quemen.\n;;;;;;;;;x
EVTOPTA_MNM_4218;I am fairly certain I got rid of this thing...;Je suis certain[Root.GetNoneE] de m'être débarrassé[Root.GetNoneE] de cette chose...;Ich bin mir recht sicher, dass ich mir dieses Ding vom Hals geschafft habe ...;;Creía tener la certeza de haberme deshecho de esa cosa...;;;;;;;;;x
EVTOPTB_MNM_4218;How long has that been there?;Depuis combien de temps était-ce là ?;Wie lange ist das denn schon hier?;;¿Cuánto tiempo llevaría ahí?;;;;;;;;;x
EVTOPTB_MNM_4218_TT;You scratch your head.\n;Vous vous grattez la tête.\n;Ihr kratzt Euch am Kopf.\n;;Te rascas la cabeza.\n;;;;;;;;;x
secretly_convert_to_catholic_holy_site;Secretly Convert to Catholic;Adopter en secret la foi catholique;Heimlich zum Katholizismus konvertieren;;Convertirse en secreto a la religión católica;;;;;;;;;x
secretly_convert_to_catholic_holy_site_desc;The §YCatholic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ycatholiques§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ykatholischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ycatólicos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_orthodox_holy_site;Secretly Convert to Orthodox;Adopter en secret la foi orthodoxe;Heimlich zum orthodoxen Glauben konvertieren;;Convertirse en secreto a la religión ortodoxa;;;;;;;;;x
secretly_convert_to_orthodox_holy_site_desc;The §YOrthodox§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yorthodoxes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yorthodoxen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yortodoxos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_miaphysite_holy_site;Secretly Convert to Miaphysite;Adopter en secret la foi miaphysite;Heimlich zum Miaphysitismus konvertieren;;Convertirse en secreto a la religión miafisita;;;;;;;;;x
secretly_convert_to_miaphysite_holy_site_desc;The §YMiaphysite§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ymiaphysites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ymiaphysitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ymiafisitas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_nestorian_holy_site;Secretly Convert to Nestorian;Adopter en secret la foi nestorienne;Heimlich zum Nestorianismus konvertieren;;Convertirse en secreto a la religión nestoriana;;;;;;;;;x
secretly_convert_to_nestorian_holy_site_desc;The §YNestorian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ynestoriens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ynestorianischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ynestorianos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_sunni_holy_site;Secretly Convert to Sunni;Adopter en secret la foi sunnite;Heimlich zum sunnitischen Glauben konvertieren;;Convertirse en secreto a la religión suní;;;;;;;;;x
secretly_convert_to_sunni_holy_site_desc;The §YSunni§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ysunnites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ysunnitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ysuníes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_shiite_holy_site;Secretly Convert to Shiite;Adopter en secret la foi chiite;Heimlich zum schiitischen Glauben konvertieren;;Convertirse en secreto a la religión chií;;;;;;;;;x
